아티스트,곡명,앨범명,앨범이미지,유튜브링크
New Hope Club,L.U.S.H.,L.U.S.H.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/753/979/82753979_1666686372789_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_TmiDJ39YM4
New Hope Club & P1Harmony,Super Chic,Super Chic,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/747/763/83747763_1682040551967_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FNbIBV7lCvE
New Hope Club,Just Don't Know It Yet,Just Don't Know It Yet,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/732/83727732_1681283432179_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5iFxSr_luOg
New Hope Club & Danna Paola,Know Me Too Well,New Hope Club (Extended Ver.),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/536/720/81536720_1597201780272_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=edsx_MOhVnk
New Hope Club,Start Over Again,Start Over Again,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/050/631/81050631_1522892207494_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DTHKFh2B1PE
New Hope Club,Getting Better,L.U.S.H.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/753/979/82753979_1666686372789_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VVAccgiKU0Q
New Hope Club,Medicine,Medicine,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/076/531/81076531_1529572344940_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8WfFGy4NT-M
New Hope Club,Whoever He Is,Whoever He Is,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/019/756/81019756_1515464673973_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_I3oeLWzwEw
New Hope Club,Let Me Down Slow,Let Me Down Slow,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/352/447/81352447_1580379315681_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pKa9C5yjtRo
New Hope Club,Permission,Permission,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/155/930/81155930_1548927894685_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ovx5NMDrKJk
New Hope Club,Fixed,Welcome To The Club,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/947/500/80947500_1565686667612_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wFzU-SkFyww
New Hope Club,Worse,Worse,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/427/068/81427068_1587688557853_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zMvbwg3UR3U
New Hope Club,Call Me A Quitter,L.U.S.H.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/753/979/82753979_1666686372789_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HSbTD8LIw2I
New Hope Club,Love Again,Love Again,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/200/142/81200142_1556790294992_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sxo3ukybEfw
New Hope Club,Girl Who Does Both,L.U.S.H.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/753/979/82753979_1666686372789_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=be4RtUQ6ygo
New Hope Club,Why Oh Why,New Hope Club,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/360/759/81360759_1581582007422_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MZIyVvCYRZ4
이병우,프롤로그 - 먼길,왕의 남자 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/033/751/696/33751696_1497854274417_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=t8C3a-5piyw
