아티스트,곡명,앨범명,앨범이미지,유튜브링크
DKZ,Harmony,DKZ 1st Repackage Album 'HARMONY',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/698/814/83698814_1681886859839_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cCCnfoe6zyY
VAV,보고싶어서,보고싶어서,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/354/185/82354185_1635492198744_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PJ_0K-yKmH0
PIXY (픽시),안부,REBORN,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/702/066/82702066_1655187494183_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QVrjrE5GOJM
DKZ,2022 (Forever),DKZ Year End Project Song 'It's All Right Part.3',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/357/002/83357002_1672282152719_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=t68Om1_8cK0
DKZ,2021 (Memories),DONGKIZ Year End Project Song 'It's All Right Part.2',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/458/612/82458612_1640765407569_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SjgVYa_luTI
전효성,STARLIGHT,STARLIGHT,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/312/947/81312947_1574320663126_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cBOdVWNgYtQ
이성종,The One,The One,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/609/896/83609896_1678424839670_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gkA5xTgMWX4
김채원,사월에게,TOMORROW,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/884/856/82884856_1661500727226_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=w9p608iKOLg
드림캐쳐,하늘을 넘어,1st Album ［Dystopia : The Tree of Language］,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/364/450/81364450_1582011544469_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_DT8DhsT3Hc
X1 (엑스원),웃을 때 제일 예뻐,비상 : QUANTUM LEAP,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/261/941/81261941_1566893012854_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=F9anYgL4nRk
Wanna One (워너원),Beautiful (Part.3),B-Side,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/501/450/82501450_1643246621668_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mSnz7g0J-eA
IZ*ONE (아이즈원),With*One,Oneiric Diary (幻想日記),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/473/972/81473972_1592207425697_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ycppwovOVuk
아이오아이 (I.O.I),잠깐만,miss me?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/883/457/80883457_1476625384899_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oFyGPanFIKc
