아티스트,곡명,앨범명,앨범이미지,유튜브링크
Hikaru Utada,Automatic,First Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/066/360/15066360_1649377825714_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KgbCEQ2g5dw
보아 (BoA),氣持ちはつたわる(키모치와 츠타와루/Kimochiha Tsutawaru),Listen To My Heart(일본발매정규앨범),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/026/956/15026956_1404981455425_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Uxxr6cWAZnw
L'Arc~en~Ciel,Bonus Tracks) 나츠노 유우우츠 (夏の憂鬱 (time to say good-bye)) - 여름의 우울,Clicked Singles Best 13+2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/046/534/15046534_1459842792073_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lbVG1uKKeSI
ORANGE RANGE (오렌지 렌지),イケナイ太陽 (Ikenai Taiyou),Panic Fancy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/066/162/643/66162643_1320288601701_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3N7Z1zclKbY
보아 (BoA),Valenti,Valenti (일본발매정규앨범),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/046/523/15046523_1336358977802_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qwNz_anqd2U
Da Pump,If...,Da Best Of Da Pump,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/047/125/15047125_1547027920061_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rpFUNMmKIlg
ZARD,來年の夏も (내년 여름도),Soffio di vento Best of IZUMI SAKAI Selection,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/052/561/450/52561450_1631773711661_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=p8sge2UY86Y
嵐 (ARASHI),A·RA·SHI,A·ra·shi,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/320/504/81320504_1574917982978_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=evCrxxtslVU
Amuro Namie,Body Feels EXIT,181920,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/064/926/15064926_1320142997876_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=m34TWYNEoUQ
w-inds.,Forever Memories (1st Single),w-inds Bestracks,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/047/070/15047070_1410848302697_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rNnKE1emT-k
Hamasaki Ayumi,Depend On You,A Best,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/042/644/15042644_1406880003877_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=l7HnrBXHGIM
Kuraki Mai,風のららら (바람의 라라라),Kuraki Mai X 명탐정 코난 COLLABORATION BEST 21 -真実はいつも歌にある! (진실은 언제나 노래에 있다!)-,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/023/416/81023416_1516671752580_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=B7teYRb_tg8
Misia,Everything,NO. 1 J-POP,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/320/844/80320844_1350613505219_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aHIR33pOUv0
보아 (BoA),Moon & Sunrise,Valenti (일본발매정규앨범),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/046/523/15046523_1336358977802_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cEf11a4ZX4g
Speed,Body&Soul (Re Track),SPEEDLAND (The Premium Best Re Tracks),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/039/933/80039933_1547082777432_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PIz33FQa8Cw
보아 (BoA),LaㆍLaㆍLa Love Song (BoA w／z SOUL´d OUT),Best Of Soul - Pefect Edition (일본발매앨범),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/020/628/265/20628265_1404980481843_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yeiz3aatkFQ
Tube,The Season In The Sun,BEST of TUBEst - All Time Best,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/733/693/82733693_1654532204615_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1MNiLvq9cbo
X-Japan,Endless Rain,Blue Blood,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/055/900/15055900_1618979604999_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QhOFg_3RV5Q
Hikaru Utada,First Love,First Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/066/360/15066360_1649377825714_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lLz9_XdyJGo
Nakashima Mika,雪の華 (눈의 꽃),TEARS (ALL SINGLES BEST),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/475/039/80475039_1495687713414_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-lMAhTUN70Q
신화,All Your Dreams,Only One,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/024/110/15024110_1323223084387_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1KiGufuwFx0
서태지,울트라 맨이야,울트라맨이야,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/024/372/15024372_1332146793631_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8jtKmWXdhm8
H.O.T.,아이야! (I yah!),I Yah!,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/036/481/15036481_1323240283206_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zCZWZnwMkUY
클릭비 (Click-B),백전무패,Click-B3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/025/100/15025100_1367817522713_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0r6031JWbA4
