아티스트,곡명,앨범명,앨범이미지,유튜브링크
Harry Styles,As It Was,Harry's House,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/619/043/82619043_1652954009555_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=H5v3kku4y6Q
Lizzo,About Damn Time,About Damn Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/834/629/82834629_1658127324941_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IXXxciRUMzE
Beyonce,CUFF IT,RENAISSANCE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/546/82858546_1658986842283_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yrtWLyp5gLI
Willie Nelson,A Beautiful Time,A Beautiful Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/655/484/82655484_1650820547254_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OLGsAMcbj8o
Bonnie Raitt,Just Like That,Just Like That...,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/651/859/82651859_1650606627131_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Skd0XR3twCA
Samara Joy,Warm In December,Warm In December,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/186/587/83186587_1668562576980_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oJTgeiFFS_k
Adele,Easy On Me,30,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/336/262/82336262_1634259042970_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=X-yIEMduRXk
Kendrick Lamar,N95,Mr. Morale & The Big Steppers,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/689/467/82689467_1652416650217_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zI383uEwA6Q
Sam Smith & Kim Petras,Unholy,Unholy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/659/634/82659634_1663829189608_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Uq9gPaIzbe8
Taylor Swift,Anti-Hero (Feat. Bleachers),Anti-Hero,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/154/191/83154191_1667885771141_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=T1d9PiRAJNM
Harry Styles,As It Was,Harry's House,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/619/043/82619043_1652954009555_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=H5v3kku4y6Q
Beyonce,CUFF IT,RENAISSANCE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/546/82858546_1658986842283_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yrtWLyp5gLI
Adele,Easy On Me,30,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/336/262/82336262_1634259042970_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=X-yIEMduRXk
Steve Lacy,Bad Habit,Gemini Rights,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/789/942/82789942_1657845861142_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VF-FGf_ZZiI
DJ Khaled,GOD DID (Feat. Rick Ross & Lil Wayne & Jay-Z & John Legend & Fridayy),GOD DID,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/875/847/82875847_1661483248344_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QugLZCp74GE
Doja Cat,Woman,Planet Her (Deluxe),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/108/744/82108744_1624850918140_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yxW5yuzVi8w
Beyonce,BREAK MY SOUL,RENAISSANCE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/546/82858546_1658986842283_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yjki-9Pthh0
Camila Cabello,Bam Bam (Feat. Ed Sheeran),Familia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/553/768/82553768_1649383543127_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-8VfKZCOo_I
ROSALIA,BIZCOCHITO,MOTOMAMI,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/512/829/82512829_1647480981419_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aG5C32aATKc
Chris Brown,Psychic (Feat. Jack Harlow),BREEZY - It's Giving Christmas,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/193/129/83193129_1668746755200_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CtuFaOqiots
Latto,Big Energy,Big Energy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/292/623/82292623_1632454226715_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=T8GpG8C0YzA
ROSALIA,LLYLM,LLYLM,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/470/581/83470581_1674515464041_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rPG4XX_X9rs
Lucky Daye,Over,Over,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/284/747/82284747_1632165052418_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Ylf8gJQe8So
