아티스트,곡명,앨범명,앨범이미지,유튜브링크
Ambient Rain & Rain Sounds ACE & Rain Sounds Sleep,sounds of rain for stress relief,* asmr rain for sleep *,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/278/375/83278375_1670429773273_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-N9rb2QDqrw
파도 소리 & 최고의 바다 소리 & 자연 소리 예약,물 치유,바다 소리 : 자연스러운 백색 소음,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/544/269/83544269_1676260534707_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=50P-2N6uex4
숲에서 새 & 자연 소리 예약 & 숲 소리,봄의 숲,새들의 노래 소리,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/644/650/83644650_1679361034193_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FtcFhABKdMY
명상음악,치유 (Healing) (Forest Ver.),"휴식할 때 듣는 감성 피아노 연주곡 베스트 (요가, 테라피, 태교 음악, 잠 잘때, 자장가, 자연의 소리, 뉴에이지 모음)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/009/407/81009407_1512545531275_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8dwl-T8AsaY
불의 소리 & 벽난로 소리 & 자연 소리 예약,내추럴 캠프 파이어,벽난로 휴식,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/632/458/83632458_1678985146405_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=20hwcHnv7Gs
Various Artists,Natural Sounds (자연 소리),임산부를 위한 뇌 태교 Natural Sound,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/254/697/80254697_1304414281883_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UVQXlwI2F7I
Various Artists,푸르름이 짙은 여름의 숲속 소리 - Natural Sounds,명상곡 - 마음을 비우는 무위자연(無爲自然)의 소리,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/144/175/80144175_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FtcFhABKdMY
파도 소리 & 최고의 바다 소리 & 자연 소리 예약,미풍,잔잔한 바다의 파도(루프),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/625/046/83625046_1678747230762_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=50P-2N6uex4
Various Artists,새벽녘 하늘빛을 바라보며 - Aurore Celeste,명상곡 - 마음을 비우는 무위자연(無爲自然)의 소리,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/144/175/80144175_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=l2-NDkPThMc
파도 소리 & 최고의 바다 소리 & 자연 소리 예약,오션힐링,"바다의 파도, 자연 소음(루프)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/695/565/83695565_1680454291487_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1Ju3Y25L04k
ASMR 자장가 (ASMR Lullaby),"심신 안정에 도움을 주는 숲소리 (휴식, 힐링, 명상, 자연, ASMR)","휴식과 힐링, 명상을 위한 숲소리 (힐링, 자장가, 수면, 숙면, 휴식, 요가, 명상, 백색소음, 불면증 치료 음악, 수면음악, ASMR)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/053/874/81053874_1524041508443_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lYJ17n_oUkA
