아티스트,곡명,앨범명,앨범이미지,유튜브링크
The Weeknd,Double Fantasy (Feat. Future),Double Fantasy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/753/368/83753368_1681993527540_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dMoFcvfd5t4
imase,18,18,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/749/675/83749675_1681922433751_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JgRUv-GlRto
Armani White & A$AP Ferg,SILVER TOOTH.,SILVER TOOTH.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/753/117/83753117_1681969879399_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fmF9y36lPnM
AJR,The Dumb Song,The Dumb Song,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/752/928/83752928_1681967445110_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yoD0CxhVoPE
Daddy Yankee,Gasolina (Feat. Myke Towers) (Safari Riot Remix),Gasolina (Safari Riot Remix),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/741/836/83741836_1681692327787_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CCbBhhnDnNI
Zachary Knowles,kiss cam,kiss cam,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/752/967/83752967_1681967796816_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=m-xH9zIzaWI
Post Malone,Chemical,Chemical,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/731/871/83731871_1681359054882_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IzPQ_jA00bk
New Hope Club,Just Don't Know It Yet,Just Don't Know It Yet,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/732/83727732_1681283432179_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5iFxSr_luOg
Sam Smith,Heavenly Sent,Gloria (Special Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/720/025/83720025_1681094739959_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ziQoQg9eo40
Drake,Search & Rescue,Search & Rescue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/713/917/83713917_1680840942832_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ntp9_iznQ-0
NF,HAPPY,HOPE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/704/379/83704379_1680655313458_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vhumOLNSSJY
