아티스트,곡명,앨범명,앨범이미지,유튜브링크
SHINee (샤이니),방백 (Aside),SHINee The 3rd Album Chapter 1. 'Dream Girl - The Misconceptions Of You',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/343/653/80343653_1361238933063_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=edhlwtzKoqw
정승환,"친구, 그 오랜시간",다섯 마디,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/062/090/82062090_1622005853767_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CPKYzhkurC8
헤일,어떨 것 같아,어떨 것 같아,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/136/136/81136136_1544503844762_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yvfQMGb4mBs
아이유 (IU),(Bonus Track) Voice Mail (Korean Ver.),Modern Times - Epilogue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/388/410/80388410_1387504181560_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PBgv9Ey-Hb8
BIG Naughty (서동현),친구로 지내다 보면 (Feat. 김민석 of 멜로망스),친구로 지내다 보면,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/480/635/83480635_1674804368592_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=j7PZv7Ni7pk
규현 (KYUHYUN),사랑이 숨긴 말들 (One confession),The 1st Mini Album '광화문에서 (At Gwanghwamun)',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/476/538/80476538_1415780235463_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6tmaCp7Bw_8
토이 (Toy),좋은 사람 (Feat. 김형중),Fermata,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/025/539/15025539_1466564684206_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2VQc6OLy_EY
성시경,좋을텐데,Melodie D’ Amour,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/026/753/15026753_1608539029913_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=80AiXsxVHak
더 넛츠 (The Nuts),사랑의 바보,The NuTs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/028/718/15028718_1405478682629_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bJxcFpSVZQY
SUPER JUNIOR (슈퍼주니어),앤젤라 (Angela),"The 3rd Album '쏘리 쏘리(SORRY, SORRY)'","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/075/594/966/75594966_1323227790522_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IDVW_8AIgsU
러블리즈,"절대, 비밀",러블리즈 7th Mini Album ［Unforgettable］,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/556/768/81556768_1598945650444_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xdVCxKWsMJw
결 (KYUL),가끔 연락하던 애,가끔 연락하던 애,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/597/113/81597113_1600733657952_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ali6HQtxIbg
박원,내 차례,또한번 엔딩 OST Part.1 (웹드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/361/542/81361542_1581669242364_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NHGFOyOOQ0M
멜로망스 (MeloMance),욕심,욕심,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/058/680/81058680_1524729006042_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2N1Y9RxAsxg
심규선 (Lucia),담담하게,꽃그늘,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/350/344/80350344_1366179449908_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zcyC8e0r_Sg
초승 (CHOSNG),마음 앞에서,마음 앞에서,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/720/317/82720317_1654145913971_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=S__YQPxw2Qk
온유 (ONEW),어떤 사이 (Sign),VOICE - The 1st Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/134/018/81134018_1543993885700_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tMDdbZ5Hl-Q
김민석 (멜로망스),취중고백,취중고백,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/443/459/82443459_1639718817315_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VMQl78z1DiY
iKON,BEST FRIEND,Return,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/019/709/81019709_1516862241098_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uSYofBvlhf4
DAY6 (데이식스),오늘은 내게,SUNRISE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/953/173/80953173_1496800598972_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=v13D8TCmvBQ
The National,Eucalyptus,Eucalyptus,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/627/568/83627568_1678826440670_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MSywJt3VlUM
Tobias Jesso Jr.,Without You,Goon,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/556/489/80556489_1665630210442_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2ybYYKBd_40
Belle and Sebastian,"Little Lou, Ugly Jack, Prophet John",Write About Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/255/663/80255663_1665630658140_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ck1XsecKN3c
Yo La Tengo,I'm So Lonesome I Could Cry,Stuff Like That There,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/666/131/80666131_1439968561811_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=m2ToSSbygKQ
Lucy Dacus,It's Too Late,Home Again / It's Too Late,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/020/042/83020042_1664939143197_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KDPKwEKhbNY
DAUGHTER,Smother,If You Leave,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/368/525/80368525_1433134072823_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GnkzvAXWV-0
Julien Baker,Happy To Be Here,Turn Out The Lights,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/997/579/80997579_1509012142262_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TVhI8TB3G70
Oliver Sim,Saccharine,Hideous Bastard,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/958/593/82958593_1662596747913_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bi1q4QaecYA
The National,About Today (2021 Remaster),Cherry Tree (2021 Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/126/428/83126428_1667182369786_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=N-nq3SmUkvw
Snail Mail,Light Blue,Valentine,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/876/302/82876302_1659666058502_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JGVfje8IqxM
The XX,On Hold,I See You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/912/968/80912968_1670521530369_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=blJKoXWlqJk
not dvr,lonely,tape_01,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/091/82858091_1658970984348_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZNL2VxABfbs
Ex:Re,Too Sad,Ex : Re,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/132/094/81132094_1543541510663_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cm0NizMnejU
