아티스트,곡명,앨범명,앨범이미지,유튜브링크
Jay Jay Johanson,Not Time Yet,Kings Cross,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/352/952/81352952_1580867505407_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oHGugV0w3Os
Anthony Lazaro,Moody Wind,Midnight Pilots,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/383/623/82383623_1636680462675_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=disF_Aob7JI
Keshi,skeletons,skeletons,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/244/606/81244606_1563239466092_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ovRRIi1kUIA
Mehro,howling,Dark Corners,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/573/890/82573890_1646877102501_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hmea6dVsCOc
mxmtoon,Unspoken Words (Acoustic),the masquerade,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/389/540/81389540_1584326110381_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MsrNFqOJ4KA
Maximillian,Turn Around,Too Young,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/357/746/82357746_1635302726626_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=i5FtsMsV4DM
Jonah Kagen,Turbulence,Turbulence,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/574/883/82574883_1646700034735_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UYFepFhfxTc
Thomas Day,Softly,Softly,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/148/857/82148857_1626855341360_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Bf8oJapT-QM
Nick Mono,The Way To My Heart,The Sun Won't Stay After Summer,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/582/633/82582633_1647055251090_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=asNBTPMhbFw
Rex Orange County,SHOOT ME DOWN,WHO CARES?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/572/615/82572615_1646958048189_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=87YWUNgsHmA
Mia Rodriguez,Psycho (Acoustic),Psycho (Acoustic),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/018/847/82018847_1619593930274_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=eVcBFTAh0co
Jeremy Zucker,Sociopath (Feat. keshi),CRUSHER,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/303/468/82303468_1632881727321_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QqV7POkKs2I
Powfu,stay4ever (Feat. Mounika.),some boring love stories pt 5,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/743/234/81743234_1605766227392_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nYgI6iPJzjE
Johnny Stimson,The Way It Was Before,The Way It Was Before,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/504/994/82504994_1643271109266_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HC4WuXazriQ
ROSIE,Retail Therapy,Retail Therapy,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/890/856/81890856_1617263732735_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RQd6WVlX8bo
Pop Smoke,Welcome To The Party,Meet The Woo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/249/745/81249745_1564103904950_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=usu0XY4QNB0
Central Cee,Loading,Loading,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/693/423/81693423_1603779650162_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1Ok-i3uGXkM
NLE Choppa,In The UK,In The UK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/814/298/82814298_1657259151765_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uwllF3lvGLQ
Fivio Foreign & The Kid LAROI,Paris to Tokyo,Paris to Tokyo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/809/929/82809929_1657057229655_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uRfnVY28x1k
Central Cee,Doja,Doja,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/843/831/82843831_1658447146678_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_VuJA-VQRcY
JACKBOYS & Pop Smoke & Travis Scott,GATTI,JACKBOYS,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/339/472/81339472_1577432713009_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kx7P_ENnDPE
NLE Choppa,Shotta Flow 3,Shotta Flow 3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/251/347/81251347_1581322624778_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FvGgFzagfI4
Kay Flock & Cardi B & Dougie B,Shake It (Feat. Bory300),Shake It,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/636/550/82636550_1649868038017_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=L7P68k8jWbI
창모 (CHANGMO),Vivienne,UNDERGROUND ROCKSTAR,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/384/076/82384076_1636616218095_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-kcOrMCJ-vo
Fleeky Bang,My Ninjas,My Ninjas,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/637/737/82637737_1649918456015_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ubb2yPSgzDg
Nemzzz,2MS,2MS,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/549/472/82549472_1645554955987_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KaM_M_SqzTw
Lil Tjay,In My Head,In My Head,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/613/301/82613301_1648507244937_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4LbJXPt-uww
