아티스트,곡명,앨범명,앨범이미지,유튜브링크
김필,목소리,목소리,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/169/184/81169184_1551942080450_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=74cr8bIvNsg
뮤즈그레인 (MuzGrain),할 말,할 말,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/311/296/81311296_1573812993769_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=95sIGi_yNc8
크르르,어쩌면 이유가 필요한 밤,어쩌면 이유가 필요한 밤,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/315/758/81315758_1574404381276_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Sol-pGU75p8
김거지,심심한 위로,심심한 위로,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/312/917/81312917_1574178458867_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7h_Op6XnUBg
이지형,I Miss You,I Miss You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/315/732/81315732_1574413970437_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xSKwP1OxILU
조규찬,해 지는 바닷가에서 스털링과 나는,해 지는 바닷가에서 스털링과 나는,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/168/302/81168302_1551858934896_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2OyFJgwcRq4
옥상달빛,두 사람,두 사람,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/784/396/80784396_1453956417207_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5JJYKdtZGnI
선스그루브 (Sun's Groove),내게 겨울은 너야 (Vocal by 주단 & Beverley),내게 겨울은 너야,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/316/359/81316359_1574415459186_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D5L_hAzquKw
적재,Lullaby,하루,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/314/791/81314791_1574405207085_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LnRDPNaRV40
Ronel (로넬),Down,Down,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/311/329/81311329_1574071327615_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2t9N0rn-zfE
모트 (Motte),여행,여행,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/310/835/81310835_1574126212374_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YkJGI3P7XUg
민수,섬,섬,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/092/121/81092121_1533693558886_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GRIMTo9Kyrk
