아티스트,곡명,앨범명,앨범이미지,유튜브링크
The Smiths,There Is A Light That Never Goes Out (2011 Remastered Ver.),The Queen Is Dead (2011 Remastered Ver.),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/054/396/15054396_1319089833969_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3r-qDvD3F3c
The Verve,The Drugs Don't Work,Urban Hymns,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/062/901/15062901_1601349281210_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ToQ0n3itoII
Joy Division,Love Will Tear Us Apart (2020 Digital Remaster),Love Will Tear Us Apart (2020 Digital Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/509/732/81509732_1595300212497_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=72LvPb9kZ88
Oasis,Wonderwall,(What's The Story) Morning Glory?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/060/424/15060424_1379053357466_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6hzrDeceEKc
The Libertines,You're My Waterloo,Anthems For Doomed Youth (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/687/276/80687276_1441849106591_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=y82uMwGFfVI
The Smiths,Heaven Knows I'm Miserable Now,The Sound Of The Smiths (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/271/477/80271477_1319092090027_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TjPhzgxe3L0
Suede,Beautiful Ones (Remastered),Coming Up (Remastered) (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/259/553/80259553_1644304526655_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=W_7P-bGq3Y8
Joy Division,She's Lost Control (2007 Re-mastered Album Ver.),Unknown Pleasures (Collector's Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/312/686/80312686_1347414925015_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Hzd5inljWhA
Oasis,Champagne Supernova,(What's The Story) Morning Glory?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/060/424/15060424_1379053357466_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tI-5uv4wryI
New Order,Blue Monday,Blue Monday (Single),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/048/971/530/48971530_1411545709132_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FYH8DsU2WCk
The Libertines,Music When The Lights Go Out,The Libertines,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/513/028/80513028_1445321472411_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D8IUsx1ZaFc
The Stone Roses,Waterfall (Remastered),The Stone Roses (20th Anniversary Collector's Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/055/747/15055747_1552628034569_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2oC4PgqV1iU
Happy Mondays,24 Hour Party People (2019 Remaster),The Early EP's,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/295/589/81295589_1658938228936_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Aa8ECdtG6gs
Suede,What Are You Not Telling Me?,Bloodsports,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/351/975/80351975_1367197454290_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uB2MZj8Ofdg
The Verve,Bitter Sweet Symphony,Urban Hymns,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/062/901/15062901_1601349281210_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1lyu1KKwC74
Slow Pulp,Idaho,Moveys,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/610/874/81610874_1602150479163_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QkKpbkpwv0U
Kevin Krauter,Surprise,Full Hand,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/371/085/81371085_1582792534011_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aw8K9tyBqTI
Peach Pit,From 2 to 3,From 2 to 3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/561/210/82561210_1646077827989_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_zydsq-JK1M
Hovvdy,Town,billboard for my feelings,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/079/495/83079495_1665902755693_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TVZmROreL74
Big Thief,Forgotten Eyes,Two Hands,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/273/584/81273584_1570523276607_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hGD-8f8Wn5M
Pavement,Grounded,Wowee Zowee : Sordid Sentinels,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/140/635/81140635_1545386494265_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=e2Nsy4h8rD4
Wallows,WISH ME LUCK,WISH ME LUCK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/316/269/83316269_1671231426905_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sJfzUPblSQQ
Car Wash,at least i lived it with you,soap water,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/193/366/83193366_1668752435318_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MqMUhcO0gFE
beabadoobee,Pictures of Us,Beatopia,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/820/909/82820909_1657568427068_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=py71Xqfn0eM
Cavetown,fall in love with a girl (Feat. Beabadoobee),worm food,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/142/291/83142291_1667625367943_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Uk2jRDvHPbk
Clairo,Bags,Immunity,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/252/475/81252475_1564654015448_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=L9HYJbe9Y18
Big Thief,UFOF,U.F.O.F.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/198/766/81198766_1556786888398_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AjPa7M5n2CU
Current Joys,Rebecca,Voyager,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/039/401/82039401_1620812862922_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5aUg-vrMwzE
Alvvays,Lottery Noises,Blue Rev,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/053/245/83053245_1679854552711_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DVG1_x7ph9k
Current Joys,Voyager Pt 1,Voyager,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/039/401/82039401_1620812862922_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Mmo5KfKUCfw
넬 (Nell),Stay,Let It Rain,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/027/599/15027599_1391415763868_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bmivgWKzGkM
넬 (Nell),인정의 미학,인정의 미학,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/377/146/83377146_1672377494384_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=UUe-urMJAD0
넬 (Nell),"그리고, 남겨진 것들",Slip Away,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/290/732/80290732_1333957201991_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sfwsOHRjGaY
넬 (Nell),한계 ,Healing Process,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/388/270/42388270_1391413781720_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fRJwrijHako
넬 (Nell),오분 뒤에 봐,COLORS IN BLACK,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/279/385/81279385_1570692555275_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RpdqfPcU1OY
넬 (Nell),Still Sunset,Still Sunset,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/872/772/82872772_1659667884155_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=En2seea1l2k
넬 (Nell),유희,Moments in between,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/230/394/82230394_1630562254963_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=S5gF6zMZmSk
넬 (Nell),Ocean Of Light,Escaping Gravity,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/358/552/80358552_1370830479578_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Nb7aD6T9wiA
넬 (Nell),멀어지다,Separation Anxiety,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/057/744/294/57744294_1391414657118_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Br7sY5vwBQk
넬 (Nell),백색왜성,Let's Take A Walk,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/050/236/910/50236910_1391414527927_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gGEoBvDMb1g
넬 (Nell),기억을 걷는 시간,Separation Anxiety,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/057/744/294/57744294_1391414657118_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7ugI2dsZzZY
넬 (Nell),1:03,Separation Anxiety,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/057/744/294/57744294_1391414657118_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=B27HHRgkNrI
넬 (Nell),지구가 태양을 네 번,Newton's Apple,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/404/887/80404887_1393409070719_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sdGLfxlaAkY
넬 (Nell),마음을 잃다 ,Healing Process,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/388/270/42388270_1391413781720_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3FIXIzP11XQ
넬 (Nell),백야,Holding Onto Gravity,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/330/261/80330261_1354500108408_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=filhfToaks0
넬 (Nell),파랑 주의보,Moments in between,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/230/394/82230394_1630562254963_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MwhhrY1JpgA
넬 (Nell),Thank You,Walk Through Me,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/029/140/15029140_1391415628879_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=392woXpg7gM
넬 (Nell),그리워하려고 해,그리워하려고 해,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/901/870/80901870_1480929753124_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rUwVCFBk61s
넬 (Nell),Cliff Parade,Slip Away,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/290/732/80290732_1333957201991_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Pke1VlPSFMU
넬 (Nell),믿어선 안될 말,Let It Rain,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/027/599/15027599_1391415763868_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mG4Ccpl7Z_8
짙은,MOON,UNI-VERSE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/954/402/80954402_1496906547506_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=l1gbt-a3r1s
나이트오프 (Night Off),잠,마지막 밤,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/133/412/81133412_1543995483923_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=x-k8gL_r__U
자우림,샤이닝,Jaurim Aw Collection,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/014/794/80014794_1387183286503_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=y6tMA7mjFiA
선우정아,도망가자 (Run With Me),Serenade,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/329/550/81329550_1576130109285_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D0l1HdemykU
곽진언,자유롭게,자유롭게,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/126/908/81126908_1542351290968_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jax_UocIbLY
이소라,Track 9,이소라 7,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/072/582/716/72582716_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5LzfjF1ESIc
하현상,"우리 둘, 서로의 위로가 되어",영혼수선공 OST Part.2 (KBS 2TV 수목드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/448/919/81448919_1590045289602_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_cIO2AcpCUo
초승 (CHOSNG),먹구름,먹구름,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/190/203/83190203_1668676428855_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HFSB7HGvpsE
종현 (JONGHYUN),Lonely (Feat. 태연),종현 소품집 '이야기 Op.2',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/941/882/80941882_1493017191755_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NpTpEsE9G8c
이예린,사람은 이상하고 사랑은 모르겠어,사람은 이상하고 사랑은 모르겠어,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/347/383/81347383_1579677882209_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5veuMLnly88
흐른,그렇습니까,흐른,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/076/551/246/76551246_1379319227652_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9Zi0WYH4RgI
이소라,시시콜콜한 이야기,눈썹달,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/017/346/397/17346397_1396539037187_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6t1ki47zUEQ
이이언 (eAeon),어쩌면,어쩌면,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/839/289/81839289_1610585922298_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D6ki5wRhw8k
검정치마,"기다린 만큼, 더",또 오해영 OST Part 7 (tvN 월화드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/829/462/80829462_1465809644542_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uG2se-8-BzE
아이유 (IU),무릎,CHAT-SHIRE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/724/877/80724877_1445520704274_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hhoP2kZ33K8
데이먼스 이어 (Damons year),salty,' sin ! ',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/291/995/81291995_1572252756208_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FIJpCghLTG8
호피폴라,너의 바다,And Then There Was Us,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/853/418/81853418_1611120277817_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TgQ8pdEUGvM
디어클라우드,네 곁에 있어,"MY DEAR, MY LOVER","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/004/991/81004991_1511162862131_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3TnsniIePQU
다린,물결,물결,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/776/235/82776235_1655967769662_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PrIXXNC54TI
우효,민들레 (single ver.),민들레,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/951/521/80951521_1496128690403_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9mjwFeCiOsg
Vince Guaraldi Trio,Manhã de Carnaval,"Manhã de Carnaval (Take 1, Set 3)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/094/175/83094175_1666215036805_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ojj2XGsbbIw
송영주,Dancing Alone,Atmosphere,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/079/376/83079376_1665900627179_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7_PTNu6HiDY
Thierry Lang Trio,Wounds,Serenity,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/463/466/80463466_1414589268042_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nDKry_npR3g
Jacky Terrasson,59,Smile,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/043/603/336/43603336_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jryx8XjJlus
Jacques Loussier Trio,Gymnopédie No. 1 : Var. 1,Satie : Gymnopédies & Gnossiennes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/024/164/83024164_1664349927185_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yyG3-oeUqGo
Keith Jarrett,Little Girl Blue,Standards In Norway,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/554/907/80554907_1431924015472_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=E_slp5aOPRA
Hank Jones,My One And Only Love,The Talented Touch,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/173/295/81173295_1552879702745_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OGyRd-aW8Ow
Red Garland,You Better Go Now,Feelin' Red,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/160/958/81160958_1550457563178_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=D8wVMxpStMw
Oscar Peterson Trio,You'll Never Know,Oscar Peterson Plays The Harry Warren & Vincent Youmans Song Books,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/661/257/80661257_1439278979236_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uz7b1kgqhS4
Bill Charlap Trio,Your Host,Street Of Dreams,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/385/120/82385120_1636542626893_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-FEVxh4wbkg
Wynton Kelly Trio,On Green Dolphin Street (Album Ver.),Kelly Blue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/189/415/81189415_1555487031817_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QBPc5hXDyds
McCoy Tyner,Days Of Wine And Roses,Nights Of Ballads & Blues,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/092/040/82092040_1623717626781_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XD9P3M7FARM
Gonzalo Rubalcaba,Sandino,The Blessing,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/043/195/442/43195442_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dMIB4nZM6mk
Michel Camilo,You And Me,Mano A Mano,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/258/349/80258349_1306725145000_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=F1nXHbUmkf4
Duke Pearson Trio,I'm a Fool to Want You,Profile & Tender Feelin's,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/456/421/82456421_1640489133060_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gZomB_n1Cf4
Bill Evans Trio,I Fall In Love Too Easily,Moon Beams (Original Jazz Classics Remasters),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/295/742/80295742_1337930090063_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oNJ2D8kz4rg
The Three Sounds,I'll Be Around,Out Of This World,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/453/811/80453811_1416393114443_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-sMHLHF2bI8
