아티스트,곡명,앨범명,앨범이미지,유튜브링크
한로로,입춘,입춘,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/578/300/82578300_1647220583959_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=l6KxNVaD2MM
박소은,우리는 같은 음악을 듣고,우리는 같은 음악을 듣고,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/184/567/82184567_1628754934935_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cZPjhueR6W4
너드커넥션 (Nerd Connection),버들길,버들길,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/735/441/82735441_1654584329279_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jMxlk2IKOMw
The Volunteers (더 발룬티어스),Time to fight back in my way,The Volunteers,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/063/424/82063424_1622098448410_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dD1WpOYFM9Q
이고도,Mouse,Mouse,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/844/269/81844269_1610706327670_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fLWuMf3ggHc
시크릿 아시안 맨 (Secret Asian Men),When Did You See It Coming,Ghost,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/927/485/81927485_1614741847103_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tElS5YuQdlo
wave to earth,ride,summer flows 0.02,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/524/833/81524833_1596443047145_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vJRF8JlZwds
The Poles (더 폴스),Good Morning Sunshine (Remastered),The High Tide Club,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/477/249/82477249_1642142885061_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0ibJKssMuYg
사뮈 (Samui),거리에서,마음은 언제나 여러 개가 있지,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/119/211/81119211_1540969088761_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ViVxrpO0284
보수동쿨러,제임스,제임스,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/650/992/83650992_1680168029843_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Wjy8h_OkCnc
한로로,정류장,정류장,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/393/527/83393527_1672726301905_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2EMgY5E5Ook
김여명 (KIM YEO MYUNG),방백 (傍白),방백 (傍白),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/046/486/81046486_1522289482740_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=f5gESHCfWk4
Kisnue (키스누),monochrome,monochrome,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/924/215/82924215_1661492628958_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xHxPr1h37Hc
시황,질투,질투,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/121/669/81121669_1541569009015_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=stu1Va-pxqE
사뮈 (Samui),강,농담,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/408/912/81408912_1585879913743_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=A6UGVv3T4DU
The National,Eucalyptus,Eucalyptus,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/627/568/83627568_1678826440670_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MSywJt3VlUM
Tobias Jesso Jr.,Without You,Goon,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/556/489/80556489_1665630210442_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2ybYYKBd_40
Belle and Sebastian,"Little Lou, Ugly Jack, Prophet John",Write About Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/255/663/80255663_1665630658140_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ck1XsecKN3c
Yo La Tengo,I'm So Lonesome I Could Cry,Stuff Like That There,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/666/131/80666131_1439968561811_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=m2ToSSbygKQ
Lucy Dacus,It's Too Late,Home Again / It's Too Late,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/020/042/83020042_1664939143197_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KDPKwEKhbNY
DAUGHTER,Smother,If You Leave,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/368/525/80368525_1433134072823_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=GnkzvAXWV-0
Julien Baker,Happy To Be Here,Turn Out The Lights,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/997/579/80997579_1509012142262_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TVhI8TB3G70
Oliver Sim,Saccharine,Hideous Bastard,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/958/593/82958593_1662596747913_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=bi1q4QaecYA
The National,About Today (2021 Remaster),Cherry Tree (2021 Remaster),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/126/428/83126428_1667182369786_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=N-nq3SmUkvw
Snail Mail,Light Blue,Valentine,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/876/302/82876302_1659666058502_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JGVfje8IqxM
The XX,On Hold,I See You,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/912/968/80912968_1670521530369_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=blJKoXWlqJk
not dvr,lonely,tape_01,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/858/091/82858091_1658970984348_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZNL2VxABfbs
Ex:Re,Too Sad,Ex : Re,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/132/094/81132094_1543541510663_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cm0NizMnejU
Perfume Genius,Leave,"Set My Heart On Fire, Immediately","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/445/867/81445867_1597476703608_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lRBVtNZmTuQ
Radiohead,Separator,The King Of Limbs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/253/353/80253353_1462359712241_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=KmpzIU301VU
Ryuichi Sakamoto,Merry Christmas Mr. Lawrence,Three,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/324/782/80324782_1437964164818_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1OZDaRhHHyM
Ryuichi Sakamoto,A Flower Is Not A Flower,UTAU (우타우),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/383/979/80383979_1386124977519_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=h6mgYWcFRHQ
Ryuichi Sakamoto,andata,async,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/941/554/80941554_1493303161020_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pygwK0sBUdM
Ryuichi Sakamoto,Energy Flow,uraBTTB,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/943/005/80943005_1493277578128_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=z45xGGTo3J0
Ryuichi Sakamoto,Rain,Playing The Orchestra 2013,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/461/281/80461281_1410858578468_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PY5LQQlvWLE
Ryuichi Sakamoto,Aqua,UTAU (우타우),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/383/979/80383979_1386124977519_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OVT0xY12PVw
Ryuichi Sakamoto,鐵道員 (Poppoya - 철도원),UTAU (우타우),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/383/979/80383979_1386124977519_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=veYDlD8o7UE
Ryuichi Sakamoto,四季 (Shiki - 사계),UTAU (우타우),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/383/979/80383979_1386124977519_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=k5REk96Ua_A
Ryuichi Sakamoto,Koko,UTAU (우타우),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/383/979/80383979_1386124977519_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=iaccVN2IgnA
Ryuichi Sakamoto,Amore,Playing The Orchestra 2013,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/461/281/80461281_1410858578468_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nN4jtr2Ybsg
Ryuichi Sakamoto,Ieta,Ieta,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/500/681/82500681_1643853209394_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FJ6H3vQLRf8
Ryuichi Sakamoto,THOUSAND KNIVES,/ 05,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/942/706/80942706_1493278112289_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rGo7n6CMCcE
Ryuichi Sakamoto,After Yang Main Theme - solo,After Yang Main Theme - solo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/118/198/83118198_1667382609024_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pUKmdf7sRPM
Ryuichi Sakamoto,The Last Emperor-Theme,/ 05,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/942/706/80942706_1493278112289_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fTtCXTry0DU
Ryuichi Sakamoto,End,Beckett (Music from the Netflix Film) (넷플릭스 영화 '베킷'),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/184/128/82184128_1628740233947_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7FmmzJve1pk
Ryuichi Sakamoto,출성 (String Ver.),남한산성 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/991/738/80991738_1506662730874_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fInQ-V_uI9Q
Yellow Magic Orchestra,Tong Poo,UC YMO : Ultimate Collection Of Yellow Magic Orchestra,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/994/699/80994699_1508398198695_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2T7TXVtGGFc
Yellow Magic Orchestra,Seoul Music,Technodelic,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/994/727/80994727_1676651133885_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5_jBhxXPNGY
Yellow Magic Orchestra,Behind The Mask,YMO,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/994/696/80994696_1508398127282_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=u4VMLYnH_Dc
Yellow Magic Orchestra,Kimini Mune Kyun -Uwaki Na Vacance,Naughty Boys & Instrumental,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/994/602/80994602_1676651132789_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Oz0VKj1_v0k
Ryuichi Sakamoto,20210310,12,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/421/269/83421269_1673855677983_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RgHudVLHNPg
Ryuichi Sakamoto,Happy End,Three,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/324/782/80324782_1437964164818_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IF6wn1h229M
Charlie Puth,I Don't Think That I Like Her,CHARLIE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9voN0gkdlS4
