아티스트,곡명,앨범명,앨범이미지,유튜브링크
Bruno Mars & Anderson .Paak & Silk Sonic,Skate,An Evening With Silk Sonic,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/933/439/81933439_1646184034193_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CEw-7cMnBDY
DIXSON,HEAT (Feat. Tinashe),HEAT,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/924/701/82924701_1661555729532_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=b4nFTp5jDcw
Flo,Fly Girl (Feat. Missy Elliott),Fly Girl,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/646/461/83646461_1679445335746_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3tQNiQHON3E
N.E.R.D,Hot-n-Fun (Feat. Nelly Furtado),Nothing,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/200/320/80200320_1592528100678_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=F6ZfA5QZDHY
Post Malone,Chemical,Chemical,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/731/871/83731871_1681359054882_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ysZYQa8NO2Y
Anderson .Paak,Tints (Feat. Kendrick Lamar),Oxnard,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/110/295/81110295_1542355758889_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=u749Hi0gDVM
Jordan Hawkins & Phabo,Timeless,Timeless,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/719/966/83719966_1681265883333_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-0gWGX9RPJM
Ella Mai,How (Feat. Roddy Ricch),Heart On My Sleeve,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/673/911/82673911_1651647038572_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=qn7TpTIQSzY
Orgone & Jamie Allensworth,You Got It,You Got It,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/340/224/83340224_1674203172715_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4BIhY7LY5r8
Kehlani,Hate The Club (Feat. Masego),It Was Good Until It Wasn't,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/421/385/81421385_1643858140838_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5dw5FWNmCi4
Autumn Marini,DRIVE,DRIVE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/389/735/82389735_1636975332389_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zMlHxTLpnZw
Bruno Mars,Chunky,24K Magic,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/881/380/80881380_1656802544460_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5kEfq8jPsu4
Calvin Harris & Charlie Puth & Shenseea,Obsessed,Funk Wav Bounces Vol. 2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/870/597/82870597_1659426692845_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BzOOF_BDtho
Amine,Compensating (Feat. Young Thug),Limbo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/528/426/81528426_1596595233284_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=dzSZtHdMDzk
Benny Sings,Let's Go,Young Hearts,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/268/83652268_1679567473748_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=TnveBh2t1Fo
초승 (CHOSNG),바다,당신의 바다가 될게요,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/606/539/82606539_1648517564919_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AX7ja_4UT0o
권나무,사랑은 높은 곳에서 흐르지,사랑은 높은 곳에서 흐르지,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/806/042/80806042_1459304055254_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3K1PX989rdE
다린,물결,물결,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/776/235/82776235_1655967769662_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PrIXXNC54TI
wave to earth,seasons,summer flows 0.02,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/524/833/81524833_1596443047145_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=nZqwQCLYgjk
어반자카파,River,(02),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/321/766/80321766_1351564661409_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=1XQGoi5zWIM
크르르,나의 안부,나의 안부,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/235/087/82235087_1630646230510_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6-yRkGnkgIk
데이먼스 이어 (Damons year),Pattern,Pattern,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/110/675/82110675_1624602266228_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2QE5ViT2nHw
초승 (CHOSNG),호수,꽃들에게,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/730/903/81730903_1605490129494_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=s3koB-41t2A
비비 (BIBI),PADO,PADO,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/253/151/82253151_1631244175033_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gjyEcSim4js
홍찬미 (Chan-Mee Hong),너와,바람,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/919/314/81919314_1614619264267_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=R1i-osjy8OA
프롬 (Fromm),WATER,"Mood, Sunday","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/251/702/83251702_1669964727503_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=wspJ3hlyCQA
선우정아,터트려 (Burst it all),터트려 (Burst it all),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/617/637/82617637_1648789498189_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=RZ7Tg39Jdn4
최유리,바다,유영,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/923/028/82923028_1661306447379_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NYR3GjM73nM
세이수미,Photo of You,The Last Thing Left,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/586/484/82586484_1652407252342_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=i563qNuNAXw
결 (KYUL),거울,거울,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/046/184/81046184_1522048992779_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DYMBcb2QSGE
SHINee (샤이니),방백 (Aside),SHINee The 3rd Album Chapter 1. 'Dream Girl - The Misconceptions Of You',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/343/653/80343653_1361238933063_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=edhlwtzKoqw
정승환,"친구, 그 오랜시간",다섯 마디,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/062/090/82062090_1622005853767_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=CPKYzhkurC8
헤일,어떨 것 같아,어떨 것 같아,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/136/136/81136136_1544503844762_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yvfQMGb4mBs
아이유 (IU),(Bonus Track) Voice Mail (Korean Ver.),Modern Times - Epilogue,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/388/410/80388410_1387504181560_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PBgv9Ey-Hb8
BIG Naughty (서동현),친구로 지내다 보면 (Feat. 김민석 of 멜로망스),친구로 지내다 보면,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/480/635/83480635_1674804368592_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=j7PZv7Ni7pk
규현 (KYUHYUN),사랑이 숨긴 말들 (One confession),The 1st Mini Album '광화문에서 (At Gwanghwamun)',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/476/538/80476538_1415780235463_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6tmaCp7Bw_8
토이 (Toy),좋은 사람 (Feat. 김형중),Fermata,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/025/539/15025539_1466564684206_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2VQc6OLy_EY
성시경,좋을텐데,Melodie D’ Amour,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/026/753/15026753_1608539029913_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=80AiXsxVHak
더 넛츠 (The Nuts),사랑의 바보,The NuTs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/028/718/15028718_1405478682629_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fuCmW_1_wxs
