아티스트,곡명,앨범명,앨범이미지,유튜브링크
김수영,좋아보여,Round and Round,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/524/481/83524481_1676877701380_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7xP0nVgH_qY
장들레,가족들에게,장들레입니다,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/678/441/83678441_1680159465947_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MDX8_8-kKO4
윤하 (YOUNHA),답을 찾지 못한 날,RescuE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/015/439/81015439_1515032339472_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ImnohMZZJcc
허회경,사라진 만큼 피어날 테니,Memoirs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/153/325/83153325_1667979806748_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=y754Tpg0a28
김수영,돌고 돌아,Round and Round,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/524/481/83524481_1676877701380_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=M4_dtTnHDME
우효,모래,모래,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/782/917/82782917_1656380013858_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VIKAMm2otEc
구름 (Cloud),마피아,Cloud. 4 'Mafia',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/931/032/80931032_1489736051712_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HvcXd0qX1ZY
김수영,내가 없어도,Round and Round,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/524/481/83524481_1676877701380_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=L6gT4ztYACo
백예린 (Yerin Baek),Fuckin' New Year,New Year,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/373/834/83373834_1672379887729_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sCgEK1TCR1w
AKMU (악뮤),달,항해,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/271/853/81271853_1569396403906_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cgo6YcqPfno
