아티스트,곡명,앨범명,앨범이미지,유튜브링크
Hans Zimmer,First Step,Interstellar (Original Motion Picture Soundtrack) (Expanded Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/481/210/80481210_1605677999071_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HV1CMDhemt0
Olafur Arnalds & Nils Frahm,a2,Stare,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/205/532/81205532_1558315360401_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=A2wCh3RKd40
Harry Gregson-Williams,Crossing Mars,The Martian: Original Motion Picture Score (마션 OST : 오리지널 스코어),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/704/076/80704076_1444202811633_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=c7IlxIxMyMQ
Ryuichi Sakamoto,andata,async,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/941/554/80941554_1493303161020_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pygwK0sBUdM
Aphex Twin,#3,Selected Ambient Works Vol. II,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/753/250/81753250_1606296803006_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fkvZOvOeON0
Loscil,Aura,Clara,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/983/381/81983381_1617648711856_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=beKm0n5gNx0
Steven Price,The Void,Gravity (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/582/090/80582090_1576577431680_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JH8p64u9JW0
Biosphere,Microgravity,Microgravity,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/716/363/82716363_1653764426929_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ArPxzrZ-rYQ
Radiohead,Treefingers,Kid A,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/040/330/15040330_1459849067506_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=L7p47zYKJoM
Brian Eno,First Light,Ambient 2: The Plateaux of Mirror,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/052/517/15052517_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=cOWJq88uAiQ
Hans Zimmer,Sanctuary,Dune (Original Motion Picture Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/290/586/82290586_1632392184431_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oYPbtPwB618
