아티스트,곡명,앨범명,앨범이미지,유튜브링크
NewJeans,OMG,NewJeans 'OMG',"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/325/577/83325577_1672649874616_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=sVTy_wmn5SU
f(x),4 Walls,4 Walls - The 4th Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/727/334/80727334_1445845857066_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4j7Umwfx60Q
SHINee (샤이니),Prism,1 of 1 - The 5th Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/876/456/80876456_1475570772228_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gVsSG9saScI
EXO-CBX (첸백시),The One,Hey Mama! - The 1st Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/886/869/80886869_1477649318789_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=FWt5ETF5wtk
f(x),Rude Love,4 Walls - The 4th Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/727/334/80727334_1445845857066_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=R7tYYNYDN7U
TWICE (트와이스),Feel Special,Feel Special,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/271/000/81271000_1569226004541_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3ymwOvzhwHs
SF9,Good Guy,FIRST COLLECTION,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/341/066/81341066_1578383589346_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aCjw3d7VChc
SuperM,2 Fast,SuperM - The 1st Mini Album,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/276/230/81276230_1570169433418_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7kr8isoN32U
더보이즈 (THE BOYZ),Salty,THE BOYZ 1ST ALBUM ［REVEAL］,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/356/300/81356300_1581322119680_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oygkTfOtnds
여자친구 (GFRIEND),바라 (Wish),여자친구 The 7th Mini Album `FEVER SEASON`,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/235/460/81235460_1561965965597_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZdfrJxI-J7s
투모로우바이투게더,간지러워 (Roller Coaster),꿈의 장: MAGIC,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/286/448/81286448_1571644542957_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=z7YWwpCk98c
Conducta,Only U,Only U,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/033/945/81033945_1519023854149_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_LIuQronJ-0
Cruz Cafune & Alba Reche,Moonlight,Moonlight922,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/341/711/81341711_1578360924267_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MHEnFB69YmU
M.O,Dance On My Own,Dance On My Own,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/458/488/80458488_1409038538844_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jn9u9OTi0wY
PinkPantheress,Boy's a liar,Take me home,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/315/547/83315547_1671219987073_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=oftolPu9qp4
Jorja Smith & Preditah,On My Mind,On My Mind,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/301/276/81301276_1572934787219_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PA5uuBCtZ5k
Lost Girl,Rockabye (Feat. BackRoad Gee),Est 1999,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/371/429/82371429_1635963327618_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7E97YPQtCpk
Bklava,Take Time (Radio Edit),Take Time,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/434/417/81434417_1588746371779_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=EjDbQeGGVow
Jorja Smith,Love (Goodbyes Reprise) (Conducta Remix),Love (Goodbyes Reprise),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/397/067/81397067_1584950688574_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tQJhQhZeavA
Rochelle Jordan,Got Em,Play With The Changes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/027/184/82027184_1620029182692_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XFTJ2dwYES8
Mahalia,What You Did (Feat. Ella Mai) (Preditah Remix),What You Did (Preditah Remix),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/297/385/81297385_1572572963530_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QGOOYhRFYsc
Disclosure & Kehlani & Syd,Birthday (MJ Cole Remix),ENERGY (Deluxe),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/550/642/81550642_1598411394662_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=rJOsvjY7sMc
Artful Dodger,Woman Trouble (Original) (Feat. Robbie Craig & Craig David),Woman Trouble,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/709/593/81709593_1604192432441_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=lqihAFwwSTg
