아티스트,곡명,앨범명,앨범이미지,유튜브링크
이루마 & Olafur Arnalds,We Contain Multitudes — piano reworks,We Contain Multitudes — piano reworks,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/025/406/83025406_1664386828435_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mmVpvtzU2bI
Alfons Kontarsky & Aloys Kontarsky,"Debussy : 드뷔시 : 네손을 위한 작은 모음곡, L. 65 - 2. 행렬",Debussy : Peaceful Piano (드뷔시 피아노 명곡 모음),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/021/088/81021088_1515654508300_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=08nyYey69MI
임윤찬 & 광주시립교향악단 & 홍석원,"베토벤 : 피아노 협주곡 5번 '황제' 2악장 - Beethoven : Piano Concerto No. 5 In E-Flat Major, Op. 73 'Emperor' : II. Adagio Un Poco Mosso","베토벤, 윤이상, 바버 (Beethoven, Isang Yun, Barber)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/233/090/83233090_1669599434663_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=B0jls9_kGPU
이루마,Nocturnal Mind In D Minor,Nocturnal Mind in d minor,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/952/508/81952508_1615957826077_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=j2XlPTanLf4
조성진,"Debussy : Suite bergamasque, L. 75 - 3. 달빛(Clair de lune) (영화 '비상선언' 삽입곡)","Debussy : Suite bergamasque, L. 75, 3. Clair de lune","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/992/856/80992856_1507785931975_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=97_VJve7UVc
Lang Lang (랑랑),Rainbow Connection (머펫 무비),Rainbow Connection (From 'The Muppet Movie'),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/907/836/82907836_1660702532628_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=mpVr0JDvBuk
조성진,"Handel : Suite in B-Flat Major, HWV 434 - IV. Minuet (Arr. Kempff for Piano)","Handel : Suite in B-Flat Major, HWV 434 : IV. Minuet (Arr. Kempff for Piano)","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/307/133/83307133_1670996141035_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OFH38_lZjz0
Werner Haas,"Debussy : Children's Corner, L. 113 - 6. Golliwogg's Cakewalk (Excerpt)",Debussy : Introduction,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/276/409/83276409_1670388051697_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=OpLxuiJILsA
Mitsuko Uchida,"Mozart : Piano Sonata No.10 In C Major, K.330 - 1. Allegro Moderato",Mozart : Piano Sonatas Nos.10 & 13 - Adagio In B Minor / Kleine Gigue In G Major,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/819/213/80819213_1463131176429_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3UQs0r56Wwo
Martha Argerich,"Schubert : Sonata For Arpeggione And Piano In A Minor, D.821 - 1. Allegro Moderato",Schumann: Fantasiestucke / Schubert: Arpeggione Sonata Etc.,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/273/260/80273260_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=c-tRWNJhb5s
