아티스트,곡명,앨범명,앨범이미지,유튜브링크
이루마,non è la fine,non è la fine,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/786/83727786_1681284627527_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zWG5nDxDcT4
Bruce Liu,"J.S. Bach : French Suite No. 5 in G Major, BWV 816 - I. Allemande","J.S. Bach : French Suite No. 5 in G Major, BWV 816","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/216/83727216_1681274446565_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WVCbqRE0pZI
Ludovico Einaudi,85mm,85mm,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/574/154/83574154_1677112243515_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_94Tegz87EQ
Hisaishi Joe & Royal Philharmonic Orchestra,엄마의 빗자루 (from '마녀 배달부 키키'),엄마의 빗자루 (from '마녀 배달부 키키'),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/418/83727418_1681277153083_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=C87UU82xiPc
Vikingur Olafsson,"J.S. Bach : Sonata for Solo Violin No. 3 in C Major, BWV 1005 - I. Adagio (Arr. Víkingur Ólafsson)",From Afar,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/045/705/83045705_1664937957919_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=xbUTu_fuaUc
Vikingur Olafsson,J.S. Bach : 바흐 : 오르간 소나타 4번 - 2. Andante (Adagio) (Transcr. by August Stradal),요한 세바스티안 바흐,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/102/979/81102979_1575619805837_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=h3-rNMhIyuQ
Rafal Blechacz,"Chopin : Nocturnes, Op. 48 - No. 2 in F-Sharp Minor","Chopin : Nocturnes, Op. 48 : No. 2 in F-Sharp Minor","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/420/213/83420213_1673401527310_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tqt0k9xtfok
정재일,Listen,Listen,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/476/408/83476408_1674634906953_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=13ZLYncoJU4
Joep Beving,For Mark,For Mark,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/563/460/82563460_1646184330984_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-XkV1V_LHoo
Grace Davidson & Max Richter & Ben Russell & Yuki Numata & Caleb Burhans & Clarice Jensen & Brian Snow,Richter : SLEEP : Tranquility Base (Single Edit),World Sleep Day 2023,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/630/366/83630366_1678913450339_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=33ox7z96IUo
