아티스트,곡명,앨범명,앨범이미지,유튜브링크
David Guetta & MORTEN,Save My Life (Feat. Lovespeake),Save My Life,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/731/390/81731390_1605248567328_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=O2vq31Lkz4A
Blasterjaxx & RIELL,God Mode,God Mode,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/385/319/82385319_1636545690332_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_9WI4w9yj0k
Castor & Pollux,Fear,Fear,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/166/478/82166478_1627873257411_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Acll1bEGiY0
Husman,Desire,Trance 100 - Winter 2021,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/350/094/82350094_1634854530970_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VqjqeQrxRoU
Winning Team,Soundwave,Soundwave,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/186/140/82186140_1628850661787_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=swnmzReVRNo
Tiesto,Clickbait,Together Again,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/343/740/82343740_1634650884965_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ccUI6LQBHqI
Will Sparks,My Company,My Company,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/268/661/82268661_1631706999368_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=2hQbJxw7wmA
MATTN & Maurice West,Funky Town,Funky Town,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/148/202/82148202_1626836183244_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=--hkHDYUKK0
Sunnery James & Ryan Marciano,Unseen Heroes,Unseen Heroes,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/320/102/82320102_1633525265980_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6BSV1y3-n7o
Dimitri Vegas & Like Mike & KSHMR & Alok,Reunion (Free Fire 4th Anniversary Theme Song) (Feat. Zafrir),Reunion (Free Fire 4th Anniversary Theme Song) (with Alok & Zafrir),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/161/950/82161950_1628145963576_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=vgFTUPbjxZI
Husman,Drama,Drama,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/197/364/82197364_1629338475482_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=WLKLsiQT69A
Justin Prime & STVW,Knockout,Knockout,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/156/421/82156421_1627384871173_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=MJfOxEwFnVs
Bassjackers & Dietro,Arabian Nights,Arabian Nights,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/110/951/82110951_1625101274149_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=X6zgPJqnKZs
Apaztron & HI3ND,Find A Way,Find A Way,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/125/946/82125946_1625531850652_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XI5Lwj-bGTw
