아티스트,곡명,앨범명,앨범이미지,유튜브링크
CHEEZE (치즈),이렇게 좋아해 본 적이 없어요,이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/944/998/81944998_1615532614776_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=s74ZqkpRFhI
새봄 (Saevom),자전거 탈래? (With 경모 of 슬로디 (Slou.D)),3' 자전거 탈래?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/175/810/81175810_1553240667890_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Q29-8mMd7hI
소란 (SORAN),그리고 너 (Feat. 안녕하신가영),노들뮤직 Vol. 1 오직 너를 위한 고백,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/864/094/80864094_1472520773977_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=m_Z_5Uxqr2I
지코 (ZICO) & 웬디 (WENDY),나의 하루는 다 너로 가득해,더 킹 : 영원의 군주 OST Part 10 (SBS 금토드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/441/180/81441180_1589535309695_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4f7GqRbsS-0
적재,사랑한대,사랑한대,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/565/755/80565755_1429693272744_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4eH_PxLdw14
스텔라장 (Stella Jang) & 이민혁,인생 봄날 (Beautiful Mint Life),인생 봄날 (Beautiful Mint Life),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/443/917/81443917_1589766226886_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6F94t0AL17g
모트 (Motte),너랑 좀 걷고 싶어,하트시그널 3 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/483/946/81483946_1592982979633_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=jS8DBzdFyh8
이민혁,그렇게 됐나 봐 (아는 여자애 X 이민혁),그렇게 됐나 봐 (아는 여자애 X 이민혁),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/235/562/82235562_1631063691066_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=15ItJgHqKy8
1415,봄이 온 것 같애,DEAR : X,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/941/255/80941255_1492658084635_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=5XU891AGvtE
406호 프로젝트,좋아하면 원래,좋아하면 원래,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/911/821/80911821_1484115312024_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kqV3gnh-Uio
원 모어 찬스 (one more chance),뭐가 그리 좋은지 몰라,one more chance 2nd mini,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/445/035/80445035_1403690048149_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=HCG5DFSKMXM
이승환,나는 다 너야,FALL TO FLY 後,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/273/351/81273351_1571046528567_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=3JxtPtx6yCs
바닐라 어쿠스틱 (Vanilla Acoustic),너를 담아 봄 (Feat. 스무살),어울리게 칠해줘,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/044/224/81044224_1523523244756_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=tR28A4MBi2M
