아티스트,곡명,앨범명,앨범이미지,유튜브링크
Niteflyte,If You Want It,Niteflyte,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/028/022/81028022_1524121547258_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=J_q_wNaDk4w
Kenny G,Here We Are,The Very Best Of Kenny G : 38 Greatest Romantic Songs,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/883/697/80883697_1476697881832_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=7tjDI09twFQ
"Earth, Wind & Fire","September (From 'The Best Of Earth, Wind & Fire, Vol. 1')",September,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/075/843/81075843_1529550979926_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Gs069dndIYk
Jeff Lorber,Back In Love,Private Passion,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/489/432/80489432_1425016432131_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PwaGTlCPNRU
Bobby Caldwell,What You Won't Do for Love,What You Won't Do for Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/021/477/15021477_1642952728051_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Y5jAwE17GkA
Howard Hewett (of Shalamar),I Got 2 Go,I Commit To Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/525/967/80525967_1428483787558_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=icOWb3FER3A
DeBarge,I Like It,All This Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/602/385/80602385_1435208338305_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=VqaKisKIyUo
Booker T. Jones,I Came To Love You,I Want You (Expanded Ver.),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/744/460/80744460_1453179722849_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=44YKj0d1azQ
Luther Vandross,Never Too Much,The Ultimate Luther Vandross (Special Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/042/031/111/42031111_1406090940054_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=pNj9bXKGOiI
Average White Band,"For You, For Love",Greatest,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/406/430/82406430_1637720176869_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=U1AF7d9bVkg
Average White Band,Watcha Gonna Do for Me,Gold,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/763/531/82763531_1655438427275_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=yEiYZIV8-pU
The Isley Brothers,Between The Sheets,The Essential Isley Brothers,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/046/984/15046984_1411008164618_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Pf_si60K9nM
Waldo,When It Comes to You,Love Don't Grow on Trees,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/073/710/81073710_1650413749366_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZOuHaiR4D44
Cheryl Lynn,Got To Be Real ,Cheryl Lynn,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/021/200/021/21200021_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=fI569nw0YUQ
Atlantic Starr,Always,All In The Name Of Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/070/030/999/70030999_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YOHopl2xPj0
New Edition,Mr. Telephone Man,New Edition,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/917/438/81917438_1614157526973_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=YTdxdr9pNnw
Bruno Mars & Anderson .Paak & Silk Sonic,Love's Train,An Evening With Silk Sonic,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/933/439/81933439_1646184034193_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BNro3uBlqVg
Babyface,Whip Appeal (12-inch Ver.),Tender Lover,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/055/452/15055452_1644885927519_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=P-zahjMjeiw
Jamiroquai,Virtual Insanity,High Times (Singles 1992 - 2006),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/043/352/833/43352833_1405650179258_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4JkIs37a2JE
Tony Toni Tone,(Lay Your Head On My) Pillow,Sons Of Soul,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/216/477/81216477_1561001341291_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=aXbXGrRqNbk
강민국,경주,경주 OST,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/442/677/80442677_1402476742014_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=31PW2soXX7M
Raphael Feuillatre,"J.S. Bach : Partita in B-Flat Major, BWV 825 - II. Allemande (Arr. Reichenbach for Guitar)",Visages baroques,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/679/742/83679742_1680107146359_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=gzhCSYN4WYU
