순위,곡명,아티스트,앨범
1,Kitsch,IVE (아이브),Kitsch
2,Ditto,NewJeans,NewJeans 'OMG'
3,꽃,지수 (JISOO),ME
4,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
5,OMG,NewJeans,NewJeans 'OMG'
6,Zero,NewJeans,Zero
7,Teddy Bear,STAYC(스테이씨),Teddy Bear
8,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
9,Like Crazy,지민,FACE
10,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
11,Love Me Like This,NMIXX,expérgo
12,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
13,After LIKE,IVE (아이브),After LIKE
14,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
15,LOVE DIVE,IVE (아이브),LOVE DIVE
16,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
17,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
18,Candy,NCT DREAM,Candy - Winter Special Mini Album
19,Nxde,(여자)아이들,I love
20,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
21,"Young, Dumb, Stupid",NMIXX,expérgo
22,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
23,Dynamite,방탄소년단,Dynamite (DayTime Version)
24,ELEVEN,IVE (아이브),ELEVEN
25,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
26,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
27,Butter,방탄소년단,Butter
28,Sugar Rush Ride,투모로우바이투게더,이름의 장: TEMPTATION
29,Permission to Dance,방탄소년단,Butter / Permission to Dance
30,All Eyes On Me,지수 (JISOO),ME
31,SET ME FREE,TWICE (트와이스),READY TO BE
32,WHEN I MOVE,카라,MOVE AGAIN
33,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
34,라일락,아이유,IU 5th Album 'LILAC'
35,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
36,Rover,카이 (KAI),Rover - The 3rd Mini Album
37,Next Level,aespa,Next Level
38,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
39,Celebrity,아이유,IU 5th Album 'LILAC'
40,INVU,태연 (TAEYEON),INVU - The 3rd Album
41,Cupid,FIFTY FIFTY,The Beginning: Cupid
42,Weekend,태연 (TAEYEON),Weekend
43,POP!,나연 (TWICE),IM NAYEON
44,Rising,tripleS (트리플에스),ASSEMBLE
45,GGBB,마마무+,"ACT 1, SCENE 1"
46,SNEAKERS,ITZY (있지),CHECKMATE
47,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
48,Lovesick Girls,BLACKPINK,THE ALBUM
49,Girls,aespa,Girls - The 2nd Mini Album
50,DICE,NMIXX,ENTWURF
51,롤린 (Rollin'),브레이브걸스,Rollin'
52,Underwater,권은비,Lethality
53,마지막처럼,BLACKPINK,마지막처럼
54,Blue Flame,LE SSERAFIM (르세라핌),FEARLESS
55,Savage,aespa,Savage - The 1st Mini Album
56,나쁜놈 (Chico malo),마마무+,"ACT 1, SCENE 1"
57,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
58,Ay-Yo,NCT 127,Ay-Yo - The 4th Album Repackage
59,ASAP,STAYC(스테이씨),STAYDOM
60,To You,틴탑,aRtisT
61,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
62,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
63,Interlude : Dive,지민,FACE
64,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM
65,Talk that Talk,TWICE (트와이스),BETWEEN 1&2
66,How You Like That,BLACKPINK,How You Like That
67,Like Crazy (English Version),지민,FACE
68,Forever Young,BLACKPINK,SQUARE UP
69,거짓말,BIGBANG (빅뱅),Always
70,불장난,BLACKPINK,SQUARE TWO
71,아주 NICE,세븐틴,Love&Letter Repackage Album
72,비행기,거북이,거북이 사요!!
73,벚꽃이 지면,아이오아이 (I.O.I),아이오아이 (I.O.I) 1st Mini Album 'Chrysalis'
74,Panorama,IZ*ONE (아이즈원),One-reeler / Act IV
75,Dreams Come True,aespa,Dreams Come True - SM STATION
76,STEP,카라,KARA 3rd Album STEP
77,Devil by the Window,투모로우바이투게더,이름의 장: TEMPTATION
78,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
79,하루 하루,BIGBANG (빅뱅),Stand Up (2008 빅뱅 3rd Mini Album)
80,DM,프로미스나인,Midnight Guest
81,REALLY REALLY,WINNER,FATE NUMBER FOR
82,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
83,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
84,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ
85,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale
86,Cheshire,ITZY (있지),CHESHIRE
87,Step Back,GOT the beat,Step Back
88,하루 끝,아이유,스무 살의 봄
89,O.O,NMIXX,AD MARE
90,BEAUTIFUL MONSTER,STAYC(스테이씨),WE NEED LOVE
91,상상더하기,라붐 (LABOUM),Fresh Adventure
92,I Don't Care,2NE1,2NE1 1st Mini Album
93,붉은 노을,BIGBANG (빅뱅),Remember
94,어푸 (Ah puh),아이유,IU 5th Album 'LILAC'
95,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn)
96,Stay This Way,프로미스나인,from our Memento Box
97,좋은 날,아이유,Real
98,거침없이,부석순 (SEVENTEEN),부석순 Digital Single '거침없이'
99,Man In Love (남자가 사랑할때),인피니트,New Challenge
100,Beatbox,NCT DREAM,Beatbox - The 2nd Album Repackage
