순위,곡명,아티스트,앨범
1,You Are Flowers On The Road,트러스트(Trust),You Are Flowers On The Road
2,I Need to Find,다니로엘 (Danyloel),I Need to Find
3,"P.S I LOVE YOU (Vocal by 이재성 , RAP by SAMMSOSA)",아기천사,P.S I LOVE YOU
4,No Bad Days,Do30,No Bad Days
5,D N D,Apink (에이핑크),SELF
6,빙글빙글 (Prod. R.Tee),헤이즈 (Heize),빙글빙글
7,Dawn,김우석,Blank Page
8,Zero,NewJeans,Zero
9,너와 나,지윤,너와 나
10,추억의 롤라장,달고나형제,추억의 롤라장
11,I Feel You,예린 (YERIN),<웹툰싱어> I Feel You (이두나! x 예린)
12,FANTASY,FANTASY BOYS,FANTASY
13,꽃,지수 (JISOO),ME
14,Traffic Accident,단,비의도적 연애담 OST Part.3
15,Neverland,딜라잇 (Delight),Neverland
16,"다시, 그 봄",스트라비,"다시, 그 봄"
17,My Pretty (예쁘네 오늘),라이오네시스G,My Pretty (예쁘네 오늘)
18,도깨비집 (TRICKY HOUSE),xikers(싸이커스),HOUSE OF TRICKY : Doorbell Ringing
19,"LEMON (Feat. SOLE, MINO)",Padi (페디),LEMON
20,Beautiful ClubMix,양준일,Beautiful ClubMix
21,"Got You (Sung By Kep1er (케플러) 김채현, 김다연, 서영은)",신비아파트,신비아파트 시즌5 OST - 고스트볼 제로
22,Clover,시호 (SIHO),Clover
23,스트레스 팍팍,초코파이브,스트레스 팍팍 / 시러시러
24,Too late (Feat. ROSESIA),pluton,Too late
25,GGBB,마마무+,"ACT 1, SCENE 1"
26,빛을 따라서 (Shining Bright),첫사랑(CSR),DELIGHT
27,Running Out of Love (feat. AleXa),BADS,Running Out of Love (feat. AleXa)
28,좋아한다 말해도 될까(레비트 솔로),레트로시티,좋아한다 말해도 될까(레비트 솔로)
29,사랑 안 해,HAYOON,사랑 안 해
30,고! 대전,1253 (일이오삼),다수의 멜로디3
31,EYES ON ME,아리,EYES ON ME
32,아이 좋아 어떡해 (feat. 가니아),ToRo,아이 좋아 어떡해
33,Sour & Sweet,뱀뱀 (BamBam),Sour & Sweet
34,EUNOIA,Billlie (빌리),the Billage of perception: chapter three
35,Oh NaNa (ASTER Remix),카드 (KARD),KARD Remix Project
36,은하수,쿠잉 (COOING),은하수
37,미야옹 (예술고양이),소냐,소냐의 뮤지컬 Page
38,Kitsch,IVE (아이브),Kitsch
39,떠나자 (Let’s Go),정이안,떠나자 (Let’s Go)
40,내꺼내꺼 (Feat. 우천),안다을,내꺼내꺼
41,Good Night,메론소다 (Melon Soda),Melon Soda 4th.
42,바보처럼,윤라영,바보처럼
43,Like Crazy (Deep House Remix),지민,Like Crazy (Remixes)
44,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
45,Like Crazy,지민,FACE
46,Rush (Feat. JEMMA) (현대자동차 AVANTE 광고음악),LOGOS (로고스),Rush
47,FEEL IT,장우혁,FEEL IT
48,Alarm (알람),ICHILLIN' (아이칠린),Challenger
49,혼 (魂; Dystopia),KINGDOM(킹덤),History Of Kingdom : Part Ⅵ. Mujin
50,CIRCUIT,팀 2시,PEAK TIME - 3Round <Originals Match>
