순위,곡명,아티스트,앨범
1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
2,Set Me Free Pt.2,지민,FACE
3,Shut Down,BLACKPINK,BORN PINK
4,on the street (with J. Cole),j-hope,on the street (with J. Cole)
5,Pink Venom,BLACKPINK,BORN PINK
6,봄날,방탄소년단,YOU NEVER WALK ALONE
7,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
8,우연히 봄,로꼬,냄새를 보는 소녀 OST Part.2
9,LOVE me,BE'O (비오),LOVE me
10,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
11,Face-off,지민,FACE
12,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
13,마이웨이 (MY WAY) (Prod. R.Tee),저스디스 (JUSTHIS),쇼미더머니 11 Episode 1
14,A bientot,임영웅,IM HERO
15,"Jumper (Feat. 개코, MINO)",코드 쿤스트 (CODE KUNST),Remember Archive
16,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코),Rainy day
17,Yet To Come,방탄소년단,Proof
18,우산 (Feat. 윤하),에픽하이 (EPIK HIGH),"Pieces, Part One"
19,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT
20,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix
21,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
22,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
23,위하여 (We Higher) (Prod. GroovyRoom),그루비룸 (GroovyRoom),쇼미더머니 11 Episode 1
24,이 노래가 클럽에서 나온다면,우디 (Woody),이 노래가 클럽에서 나온다면
25,다시 보고 싶은 영화가 있어,로키드 (Lokid),다시 보고 싶은 영화가 있어
26,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun'
27,MY BAG,(여자)아이들,I NEVER DIE
28,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
29,METEOR,창모 (CHANGMO),Boyhood
30,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
31,문득,BE'O (비오),Bipolar
32,Officially Missing You,긱스 (Geeks),Officially Missing You
33,GONE (Feat. Paloalto) (Prod. TOIL),릴러말즈 (Leellamarz),GONE
34,"BLUE CHECK (Feat. 박재범, 제시) (Prod. by Slom)",토이고 (toigo),쇼미더머니 11 Episode 3
35,Trip (Feat. Hannah),릴러말즈 (Leellamarz),Trip
36,어땠을까 (Feat. 박정현),싸이 (PSY),싸이6甲 Part.1
37,Summer (Feat. BE’O (비오)),Paul Blanco,Summer
38,LAW (Prod. Czaer),윤미래,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
39,거짓말,BIGBANG (빅뱅),Always
40,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,시차 (We Are)
41,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
42,멜로디,ASH ISLAND,멜로디
43,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3
44,Drowning (Feat. SOLE (쏠)),BOBBY,1st Single ′S.i.R′
45,Y (Please Tell Me Why),프리스타일,Freestyle 3
46,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),쇼미더머니 11 Episode 3
47,아무노래,지코 (ZICO),아무노래
48,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍,Hexagonal
49,대충 입고 나와,우디 (Woody),대충 입고 나와
50,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),쇼미더머니 11 Semi Final
51,하루 하루,BIGBANG (빅뱅),Stand Up (2008 빅뱅 3rd Mini Album)
52,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP
53,"검정색하트 (Feat. Leellamarz, BE'O)",TOIL,Between Sat & Sun
54,Rap lesson (Feat. Skinny Brown),릴러말즈 (Leellamarz),DAYDATE
55,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
56,우리서로사랑하지는말자,기리보이,영화같게
57,사랑을 했다 (LOVE SCENARIO),iKON,Return
58,We like to party,릴러말즈 (Leellamarz),DAYDATE
59,죽을 만큼 아파서 (Feat. 멜로우),MC몽,블루브랜드 Trauma Part 2
60,Vroong,릴러말즈 (Leellamarz),Vroong
61,들꽃놀이 (with 조유진),RM,Indigo
