순위,곡명,아티스트,앨범
1,Valentino Girl (Feat. 허성현 (Huh)),키츠요지 (kitsyojii),SMUGGLERSISMYPRODUCER
2,Allonme,알피 더 크리에이터,BLOOM HIGH
3,Blossom,OURBEATZ,Blossom
4,MJ,씨클 (C.Cle),Woah!
5,사랑의 형태는 분명 꽃일 거야 (Feat. 김준태),류현준,사랑의 형태는 분명 꽃일 거야
6,Someday,Lofi zoo,Someday
7,Storm,reno da wave,Black Blood
8,KISS ME (Feat. BIG Naughty),기리보이,KISS ME
9,구해줘,화나 (Fana),구해줘
10,Boutta Go (Feat. EK) (Prod. Panda Gomm),100KGOLD,Boutta Go (Feat. EK) (Prod. Panda Gomm)
11,불장난,Dawn Dox,불장난
12,고마웠고 미안해,태리 (Terry),고마웠고 미안해
13,차라리 죽는 게 낫다고 생각했던 밤,류현준,나비 매듭
14,I just like that,유,다이어리
15,Bucket list,C-realize,Bucket list
16,대연,Dcam,대연
17,Ghost,프리키 (Freaky),Ghost
18,"Bust Down REMIX (Feat. Sikboy, 1Kyne, 광어, 잭앤웨일)",C.Swag,Bust Down REMIX
19,GO ON,ZAY,GO ON
20,Nausea (Feat. Sasaeg),Leon Tarantino,Into The Absurd
21,자서전 (Feat. XIO) (Prod. Hwan_$),민경성(MK$),자서전
22,Beam,구사일생,Beam
23,cheese,Willy gainz,cheese
24,그냥 해,LEIDEN,Dokodemo-door
25,Monday Lemonade,Chan & gorapa,Monday Lemonade
26,선 (feat.dinosoul),TOMMY ROCK (타미 락),선
27,"19금
가끔 내가 바보같이 느껴질때",안공구,가끔 내가 바보같이 느껴질때
28,Olivia,O.T.O,Olivia :) lofi hiphop mix
29,trapped in the city,H2de (하이드),Trapped
30,잘 지내볼게,일니스트 (Illnest),잘 지내볼게
31,city of grunge,Lo-g,city of grunge
32,아프게만,SA4BEN (사벤),사계절
33,멈춰 (with Martian),Blank!d,멈춰 (with Martian)
34,Homie,Hip Hop Joy,Homie
35,We like to party,릴러말즈 (Leellamarz),DAYDATE
36,come to my stu (Feat. 릴러말즈) (Remix),크루셜스타 (CRUCiAL STAR),come to my stu (Remix)
37,좋을 때라던데 (Feat. 정인) (Prod. Neulbo),브라운티거 (Brown Tigger),좋을 때라던데
38,EVERYNIGHT(Feat. 추서준),s/s,EVERYNIGHT
39,우리 손 놓지 말어,호두 (Hodoo),우리 손 놓지 말어
40,슈퍼해피하게,슈퍼해피,슈퍼해피하게
41,보폭을 올려 (Prod. dxfr),Stander,감정론
42,I'm on my way (Feat. 서민석),Gi-woo,I'm on my way
43,Keep it fucking real(feat.BigDiku),원도연,Keep it fucking real
44,Protein,NAGASAWA,Protein
45,2006,Ein Sick,2006
46,내 자리,무쇠,돌
47,Deadly Life,MIRUVANA,WE ARE ALL ZOMBIES
48,Prada,Scotch (스카치),Beta to Alpha
49,경상남도 창원시,lil changone,Korea 경상남도 창원시 phonk
50,Moby-Dick,Yen,YCBG
