순위,곡명,아티스트,앨범
1,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
2,심(心),DK(디셈버),심(心)
3,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
4,TOMBOY,(여자)아이들,I NEVER DIE
5,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집
6,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
7,London Boy,임영웅,Polaroid
8,Polaroid,임영웅,Polaroid
9,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
10,무지개,임영웅,IM HERO
11,주저하는 연인들을 위해,잔나비,전설
12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
13,Blueming,아이유,Love poem
14,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
15,신호등,이무진,신호등
16,예뻤어,DAY6 (데이식스),Every DAY6 February
17,strawberry moon,아이유,strawberry moon
18,꽃송이가,버스커 버스커,버스커 버스커 1집
19,"스물다섯, 스물하나",자우림,"Goodbye, grief."
20,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
21,여행,볼빨간사춘기,Red Diary Page.2
22,널 떠올리는 중이야,PATEKO (파테코),어서와요 키카코 하우스
23,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1
24,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,봉춤을 추네
25,사랑했나봐,윤도현,Difference
26,No Celestial,LE SSERAFIM (르세라핌),ANTIFRAGILE
27,Endless,허각,Endless
28,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
29,기억을 걷는 시간,넬 (NELL),멀어지다
30,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,MONKEY HOTEL
31,Love poem,아이유,Love poem
32,Monologue,버즈,Morning Of Buzz
33,안아줘,정준일,Lo9ve3r4s
34,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE
35,Drive,미연 ((여자)아이들),MY
36,옥탑방 (Rooftop),엔플라잉 (N.Flying),FLY HIGH PROJECT #2 '옥탑방'
37,봄 to 러브,10CM,우리들의 블루스 OST Part 3
38,남자를 몰라,버즈,Perfect
39,비밀번호 486,윤하 (YOUNHA),고백하기 좋은 날
40,가을밤에 든 생각,잔나비,잔나비 소곡집 l
41,민들레 (single ver.),우효,민들레
42,EVERYTHING,검정치마,EVERYTHING
43,와스레나이 (Prod By D-Hack),다나카(TANAKA),와스레나이 (Prod By D-Hack)
44,가시,버즈,Buzz Effect
45,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
46,사랑의 바보,더 넛츠 (The NuTs),The Nuts
47,The Astronaut,진,The Astronaut
48,별 보러 가자,적재,FINE
49,노래방에서,장범준,장범준 3집
50,네버랜드를 떠나며,투모로우바이투게더,이름의 장: TEMPTATION
51,사랑앓이,FTISLAND (FT아일랜드),Cheerful Sensibility
52,心 (심),얀,Yarn II Story
53,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
54,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection),좋은 밤 좋은 꿈
55,마지막 시,BIG Naughty (서동현),호프리스 로맨틱
56,On The Ground,로제 (ROSÉ),R
57,겁쟁이,버즈,Buzz Effect
58,여수 밤바다,버스커 버스커,버스커 버스커 1집
59,고백,델리스파이스,Espresso
60,LO$ER=LO♡ER,투모로우바이투게더,혼돈의 장: FIGHT OR ESCAPE
61,Never Ending Story,부활,새벽
62,By My Side,하현상,By My Side
63,Endless,플라워,소품집
64,개화 (Flowering),LUCY,DEAR.
65,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
66,아니 근데 진짜,LUCY,INSERT COIN
67,위잉위잉,혁오 (HYUKOH),20
68,발걸음,에메랄드 캐슬,Invitation
69,봄바람,김재환,봄바람
70,봄바람 (Feat. 나얼),이문세,NEW DIRECTION
