순위,곡명,아티스트,앨범,앨범이미지
1,사랑하기 싫어,지아,사랑하기 싫어,https://cdnimg.melon.co.kr/cm2/album/images/111/88/007/11188007_20230223114254_500.jpg?7e19adb79dd6ab08649d4dd1ef54cc77/melon/resize/282/quality/80/optimize
2,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에,https://cdnimg.melon.co.kr/cm2/album/images/112/05/854/11205854_20230317102921_500.jpg?a9d812584596d99a83656b8382e53862/melon/resize/282/quality/80/optimize
3,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg?d77ecb572464fd179c5e963a6fe0a351/melon/resize/282/quality/80/optimize
4,나비무덤,포맨 (4MEN),나비무덤,https://cdnimg.melon.co.kr/cm2/album/images/111/93/225/11193225_20230228162826_500.jpg?ef9e5c319db32bcb0586ce02f3802fae/melon/resize/282/quality/80/optimize
5,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/282/quality/80/optimize
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg?7eeae0e5c1f24c5ae9fa04f626e74c34/melon/resize/282/quality/80/optimize
7,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서,https://cdnimg.melon.co.kr/cm2/album/images/112/05/313/11205313_20230316151054_500.jpg?49589640db2802d193333a7a442bb795/melon/resize/282/quality/80/optimize
8,Monologue,테이,Monologue,https://cdnimg.melon.co.kr/cm2/album/images/110/57/545/11057545_20221021124737_500.jpg?cb464fb584ef9bcbe1a7f8f2201d8273/melon/resize/282/quality/80/optimize
9,해요 (2022),#안녕,해요 (2022),https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg?690c69f1d7581bed46767533175728ff/melon/resize/282/quality/80/optimize
10,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04),https://cdnimg.melon.co.kr/cm2/album/images/111/28/774/11128774_20221220164233_500.jpg?126459afc509b5592382c747f787ee4d/melon/resize/282/quality/80/optimize
11,취중고백,김민석 (멜로망스),취중고백,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg?c1818ddc493cb2bbb4d268431e6de7b5/melon/resize/282/quality/80/optimize
12,내가 아니라도,주호,내가 아니라도,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg?389545aadd50ead38a260c8438fc5924/melon/resize/282/quality/80/optimize
13,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,https://cdnimg.melon.co.kr/cm2/album/images/110/00/171/11000171_20220708163659_500.jpg?9f653a625ba9b4bbe1f0fbd93d0e5146/melon/resize/282/quality/80/optimize
14,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg?e8c5aa44ff6608c13fa48eb6a20e81af/melon/resize/282/quality/80/optimize
15,되돌리다,먼데이 키즈 (Monday Kiz),되돌리다,https://cdnimg.melon.co.kr/cm2/album/images/112/06/217/11206217_20230317162759_500.jpg?97ebb4491fa32b304bb70e3fdc218f20/melon/resize/282/quality/80/optimize
16,우리들의 블루스,임영웅,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/282/quality/80/optimize
17,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg?fa24fa8eabdd1e9e13759225831e2eec/melon/resize/282/quality/80/optimize
18,봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고,https://cdnimg.melon.co.kr/cm/album/images/022/48/659/2248659_500.jpg/melon/resize/282/quality/80/optimize
19,나의 X에게,경서,나의 X에게,https://cdnimg.melon.co.kr/cm2/album/images/109/29/486/10929486_20220422151852_500.jpg?648f2d70a3d877844192313f323bf7bb/melon/resize/282/quality/80/optimize
20,그대를 알고,송하예,그대를 알고,https://cdnimg.melon.co.kr/cm2/album/images/111/21/346/11121346_20221213100914_500.jpg?96846e52bde70edcadd58f048a2e21e4/melon/resize/282/quality/80/optimize
21,잘가요,주호,잘가요,https://cdnimg.melon.co.kr/cm2/album/images/111/15/359/11115359_20221202124614_500.jpg?b8f5b97603c0fc5ea4f7ce7eb6b48615/melon/resize/282/quality/80/optimize
22,다시 만날 수 있을까,임영웅,IM HERO,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/282/quality/80/optimize
23,그대라는 사치,임창정,그대라는 사치,https://cdnimg.melon.co.kr/cm2/album/images/112/00/832/11200832_20230310112744_500.jpg?7911bbf7bbdabd16a73f153a39f9bceb/melon/resize/282/quality/80/optimize
24,너와 함께,김민석 (멜로망스),너와 함께,https://cdnimg.melon.co.kr/cm2/album/images/111/87/922/11187922_20230223094104_500.jpg?a4693ee57f454f6af06743942887f4da/melon/resize/282/quality/80/optimize
25,혼자가 아닌 나,정효빈,혼자가 아닌 나,https://cdnimg.melon.co.kr/cm2/album/images/111/93/196/11193196_20230228155717_500.jpg?6c5d4adf2d18ae82065a12e9d9913737/melon/resize/282/quality/80/optimize
