순위,곡명,아티스트,앨범
1,벚꽃이 날리는 여의도에서,범승혁,벚꽃이 날리는 여의도에서
2,나의 사랑 너에게 (Feat. 후아유),이채아,기다리던 계절
3,사랑해요,박주효,너의 목소리가 보여 10 Part 2
4,너의 손길이 그리워,조문근,카페 앵커리지 OST Part.4
5,봄날의 기억,한경일,봄날의 기억
6,그리움만,다무 (Damu),요조신사 마초숙녀 OST Part.23
7,달의 노래,김하루,달의 노래
8,그대의 위로가 되길,유탁,그대의 위로가 되길
9,연보라색 꽃,예노니,연보라색 꽃
10,가까이,정웅식,가까이
11,아름다운 그 이름,김영룡,아름다운 그 이름
12,너에게 고마웠어 (feat. 권준),플랏나인,너에게 고마웠어
13,그 밤 바다,이동영,그 밤 바다
14,Spectrum,정다현,Spectrum
15,봄을 채우지,Ian (이안),봄을 채우지
16,도와주소서,신영철,도와주소서
17,교수님 살려주세요…,단교,대학생들을 위한 바른 길라잡이
18,네번의 겨울 지나 다섯번의 봄이 와도 (Vocal.정미),Iony (아이오니),네번의 겨울 지나 다섯번의 봄이 와도
19,"Forever You (feat. Roundj, D : craeo)",Kid Riger,"Forever You (feat. Roundj, D : craeo)"
20,너라는 사람을 만나,정철 (최정철),너라는 사람을 만나
21,다시는 사랑은 할 수가 없을 거야,하진우,다시는 사랑은 할 수가 없을 거야
22,너무 좋아 니가 좋아,디아니,너무 좋아 니가 좋아
23,이별전야,란 (RAN),"Oh, Boy! (오, 보이!) OST Part.3"
24,봄,남문현,봄
25,어떤 마음이 되어,일월 (日月),동심
26,짝사랑이란 이름도 사랑인 건 맞겠지,이백길,짝사랑이란 이름도 사랑인 건 맞겠지
27,It’s You,서이 (SeoY),April
28,속마음 (With 영은),한예린,속마음
29,그래볼게 (Vocal. 우용수) (Piano Ver.),즌즌,그래볼게
30,우주 Love Me,with. Hyen(위드혠),우주 Love Me
31,바라보고 있으면,ZYNON(지논),바라보고 있으면
32,Remember 5.18,휘가람,Remember 5.18
33,안녕 다시,윤혜진,나의공주에게
34,반려 (Feat. 선정),고래 (GORAE),반려
35,사귀자,송레터,Song Letter
36,오랜 짝사랑,천한것들,오랜 짝사랑
37,겨울향,동녘,겨울향
38,품에 (feat. 김윤경),안효진,품에
39,"붉은 밤, 붉은 맘",JiNNY (真熙),"붉은 밤, 붉은 맘"
40,나는 잘 지내 (Feat. 정승환),정키,i'm fine.
41,백일몽,신예영,꽃선비 열애사 O.S.T Part.3
42,Shooting Star,한승윤,보이지 않아 OST
43,부메랑,Austn (오스틴),MELODIZM TRIP PART.1
44,오아시스 (prod. 송유담),석우,오아시스 OST Part 4
45,눈물로 하룰 보낸다,재경,눈물로 하룰 보낸다
46,들리니 내 맘이,안예슬,피터판다 (PETER PANDA) OST Part.3
47,Shall we dance?,234,Shall we dance?
48,좋아 너의 모든 게 좋아,비비안 (BBAHN),좋아 너의 모든 게 좋아
49,걷다보면,반뮤,걷다보면
50,소중한 너,이은영,소중한 너
