순위,가수명,인기곡,앨범이미지,유튜브링크
1,아이유,봄 사랑 벚꽃 말고,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/61/143/261143_20210325180240_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=ouR4nn1G9r4
2,지수 (JISOO),꽃,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/174/995174_20230331113916_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=YudHcBIxlYw
3,볼빨간사춘기,Love story,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/92/022/792022_20220418142336_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=E35In9bsWh4
4,윤하 (YOUNHA),사건의 지평선,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/03/912/203912_20220330112405_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=BBdC1rl5sKY
5,태연 (TAEYEON),혼자서 걸어요 (Prod. by 나얼),https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/36/797/236797_20230113111110_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=qSdyigEP2jY
6,헤이즈 (Heize),빙글빙글 (Prod. R.Tee),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/51/611/751611_20230403143900_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=FanfDDjFyT8
7,백예린 (Yerin Baek),Square (2017),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/98/776/698776_20221230145138_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=4iFP_wd6QU8
8,Aimyon,愛を伝えたいだとか / Ai Wo Tsutaetaidatoka (사랑을 전하고 싶다든가),https://cdnimg.melon.co.kr/cm2/artistcrop/images/016/25/441/1625441_20230405150156_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=ltwazF77Owg
9,송하예,너를 보는게 지친 하루에,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/22/098/722098_20211022162650_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=W-4fo94U4Tc
10,송가인,당신을 만나,https://cdnimg.melon.co.kr/cm2/artistcrop/images/017/01/869/1701869_20220427134633_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=mFiODtFjIaE
11,백아,첫사랑,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/13/114/2113114_20230130115533_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=RROW1FvQjqA
12,지아,사랑하기 싫어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/002/27/595/227595_20210217104823_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=bKfQmdCWKoQ
13,Anne-Marie,Expectations,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/70/307/870307_20230309175316_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=jrt4iWhofPA
14,권진아,운이 좋았지,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/60/046/760046_20230308164854_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=CLR9dytvnmM
15,Ariana Grande,Stuck with U,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/97/451/597451_20201027115530_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=h2jvHynuMjI
16,케이시 (Kassy),언제나 사랑해,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/125/858125_20221129114501_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=mHRqPS2pqD0
17,최유리,그댄 행복에 살텐데 (2022),https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/45/970/2645970_20220519112923_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=mwTnWKAvFyo
18,비비 (BIBI),LAW (Prod. Czaer),https://cdnimg.melon.co.kr/cm2/artistcrop/images/024/03/002/2403002_20220927114113_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=wIRt5my06pw
19,21학번,스티커 사진,https://cdnimg.melon.co.kr/cm2/artistcrop/images/029/31/537/2931537_20210412101627_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=ArvOtRsecVQ
20,경서,나의 X에게,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/94/005/994005_20221026121614_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=iAfxyHOmHrM
21,에일리(Ailee),첫눈처럼 너에게 가겠다,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/29/831/629831_20211027134955_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=6rS7OUGXUik
22,은하 (EUNHA),후우 (Who?),https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/237/858237_20230131094331_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=mJhvVjHs-cc
23,청하,When I Get Old,https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/68/265/968265_20220711154432_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=Ua3aNDJE_Cg
24,신예영,마지막 사랑,https://cdnimg.melon.co.kr/cm2/artistcrop/images/027/40/042/2740042_20230120173133_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=bokR8sXylQE
25,김나영,봄 내음보다 너를,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/35/094/735094_20220831122700_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=NfmAb14lpzY
26,정은지,All For You,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/44/871/644871_20230405135410_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=XPbOlL5pQ2g
27,펀치 (Punch),Say Yes,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/49/640/749640_20221129113741_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=5UQzXbizT-s
28,안예은,낮에 뜨는 달 (낮에 뜨는 달 X 안예은),https://cdnimg.melon.co.kr/cm2/artistcrop/images/009/47/099/947099_20210730145045_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=3GHp14Tddbw
29,이영지,NOT SORRY (Feat. pH-1) (Prod. by Slom),https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/36/153/2636153_20211029114418_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=YSEcAElZwF8
30,Taylor Swift,Anti-Hero,https://cdnimg.melon.co.kr/cm2/artistcrop/images/003/25/867/325867_20221021164716_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=b1kbLwvqugk
31,CHEEZE (치즈),Madeleine Love,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/97/191/597191_20220530174000_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=IuqOUNEQOP0
32,이하이,한숨,https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/46/171/646171_20210827180057_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=5iSlfF8TQ9k
33,선미,불이 꺼지고,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/22/938/22938_20220629112242_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=n1b74Poei_M
34,HYNN (박혜원),시든 꽃에 물을 주듯,https://cdnimg.melon.co.kr/cm2/artistcrop/images/012/29/685/1229685_20221123142803_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=PCKBx-ors60
35,민니 ((여자)아이들),Expectations,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/38/419/2138419_20221017120009_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=jrt4iWhofPA
36,YENA (최예나),SMILEY (Feat. BIBI),https://cdnimg.melon.co.kr/cm2/artistcrop/images/023/99/724/2399724_20230116133833_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=y9kkXTucnLU
37,유주 (YUJU),우연히 봄,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/58/238/858238_20230307113823_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=ftH1Z6CIqHU
38,이예준,니 번호가 뜨는 일,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/18/655/718655_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=rhr2H5k0URc
39,거미,You Are My Everything,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/30/358/30358_20230127103808_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=ToASX6axGuw
40,백지영,거짓말이라도 해서 널 보고싶어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/118/1118_500.jpg/melon/resize/104/quality/80/optimize,https://www.youtube.com/watch?v=QE3Ma3wYZ28
