순위,가수명,인기곡,앨범이미지,유튜브링크
1,볼빨간사춘기,FRIEND THE END,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/92/022/792022_20230414141834_500.jpg,https://www.youtube.com/watch?v=haceXrrm-LU
2,10CM,그라데이션,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/68/244/468244_20220930100210_500.jpg,https://www.youtube.com/watch?v=VQZXXciZb_c
3,멜로망스,사랑인가 봐,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/39/732/839732_20220503105326_500.jpg,https://www.youtube.com/watch?v=McidaTgrQB0
4,잔나비,주저하는 연인들을 위해,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/72/253/772253_20220510133114_500.jpg,https://www.youtube.com/watch?v=GpQ222I1ULc
5,기리보이,KISS ME (Feat. BIG Naughty),https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/85/492/585492_20220520155031_500.jpg,https://www.youtube.com/watch?v=LvHrhmF_hWU
6,이승윤,언덕나무,https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/23/192/723192_20230126160545_500.jpg,https://www.youtube.com/watch?v=-YxdzUEpyWA
7,코드 쿤스트 (CODE KUNST),"Jumper (Feat. 개코, MINO)",https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/24/086/724086_20230316113059_500.jpg,https://www.youtube.com/watch?v=2C3A2GrfOeM
8,Crush,Rush Hour (Feat. j-hope of BTS),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/74/710/674710_20220922150716_500.jpg,https://www.youtube.com/watch?v=PS0qkO5qty0
9,#안녕,해요 (2022),https://cdnimg.melon.co.kr/cm/artistcrop/images/010/24/489/1024489_500.jpg,https://www.youtube.com/watch?v=P6gV_t70KAk
10,쿠기 (Coogie),Alone (Feat. 이하이),https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/11/694/2111694_20230414140239_500.jpg,https://www.youtube.com/watch?v=V9G32deO0bk
11,김민석 (멜로망스),취중고백,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/39/736/839736_20220503105425_500.jpg,https://www.youtube.com/watch?v=VMQl78z1DiY
12,마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment),https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/66/431/566431_20230106154404_500.jpg,https://www.youtube.com/watch?v=tL7HKKEoW1Y
13,최유리,그댄 행복에 살텐데 (2022),https://cdnimg.melon.co.kr/cm2/artistcrop/images/026/45/970/2645970_20220519112923_500.jpg,https://www.youtube.com/watch?v=mwTnWKAvFyo
