순위,곡명,아티스트,앨범
1,해요 (2022),#안녕,해요 (2022)
2,그라데이션,10CM,5.3
3,너와 함께,김민석 (멜로망스),너와 함께
4,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022)
5,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운
6,주저하는 연인들을 위해,잔나비,전설
7,Love story,볼빨간사춘기,Seoul
8,첫사랑,백아,첫사랑
9,봄이 좋냐??,10CM,3.2
10,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박)
11,선물,멜로망스,Moonlight
12,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light
13,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
14,스티커 사진,21학번,스티커 사진
15,폰서트,10CM,4.0
16,너를 생각해,주시크 (Joosiq),너를 생각해
17,썸 탈꺼야,볼빨간사춘기,Red Diary Page.1
18,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고
19,고백,멜로망스,세 번째 '고백'
20,우주를 줄게,볼빨간사춘기,Full Album RED PLANET
21,오래된 노래,스탠딩 에그,오래된 노래
22,다시 보고 싶은 영화가 있어,로키드 (Lokid),다시 보고 싶은 영화가 있어
23,나의 사춘기에게,볼빨간사춘기,Red Diary Page.1
24,여행,볼빨간사춘기,Red Diary Page.2
25,널 떠올리는 중이야,PATEKO (파테코),어서와요 키카코 하우스
26,세상에 없는 계절,임재현,세상에 없는 계절
27,Way Back Home,숀 (SHAUN),Take
28,사랑은 은하수 다방에서,10CM,1.0
29,Madeleine Love,CHEEZE (치즈),CHEEZE 1.5집 Plain
30,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비
31,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
32,아무래도 난,주시크 (Joosiq),아무래도 난
33,좋다고 말해,볼빨간사춘기,Full Album RED PLANET 'Hidden Track'
34,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,봉춤을 추네
35,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,MONKEY HOTEL
36,yours,데이먼스 이어 (Damons year),yours
37,스토커,10CM,3.0
38,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
39,좀 더 일찍 말해주지 그랬어,#안녕,좀 더 일찍 말해주지 그랬어
40,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈))
41,안아줘,정준일,Lo9ve3r4s
42,동화,멜로망스,The Fairy Tale
43,고백하는 취한밤에 (Prod. 2soo),임재현,고백하는 취한밤에
44,바람이 될게,스트레이 (The Stray),바람이 될게
45,서툰 이별을 하려해 (Feat.전상근),윤토벤,서툰 이별을 하려해
46,가을밤에 든 생각,잔나비,잔나비 소곡집 l
47,남이 될 수 있을까,볼빨간사춘기,남이 될 수 있을까
48,민들레 (single ver.),우효,민들레
49,EVERYTHING,검정치마,EVERYTHING
50,초대,멜로망스,초대
51,별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운
52,별 보러 가자,적재,FINE
53,나만 안되는 연애,볼빨간사춘기,Full Album RED PLANET
54,Downtown Baby,블루 (BLOO),Downtown Baby
55,Seoul,볼빨간사춘기,Seoul
56,너는 내 세상이었어,볼빨간사춘기,Butterfly Effect
57,숲,최유리,유영
58,"너, 너",스트레이 (The Stray),her
59,Beige coat,그리즐리 (Grizzly),Beige coat
60,달,스트레이 (The Stray),달
61,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection),좋은 밤 좋은 꿈
62,내가 바보라서 그래?,KIXO (키조),내가 바보라서 그래?
