순위,곡명,아티스트,앨범
1,아모르 파티,이홍기 (FT아일랜드),아모르 파티
2,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
3,보금자리,임영웅,IM HERO
4,그대 내 친구여,안성훈,미스터트롯2 결승전 베스트
5,풍등,이찬원,ONE
6,백년의 약속,황영웅,불타는 트롯맨 결승전 듀엣곡미션 & 미발매곡
7,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
8,시절인연 (時節因緣),이찬원,꼰대인턴 OST Part 2
9,깜빡이를 키고 오세요,박지현,미스터트롯2 준결승전 신곡미션
10,찐이야,영탁,내일은 미스터트롯 결승전 베스트
11,니가 왜 거기서 나와 (Narr. 고은아),영탁,니가 왜 거기서 나와
12,어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트
13,안 볼 때 없을 때,황영웅,불타는 트롯맨 결승전 신곡미션
14,시절인연,안성훈,미스터트롯2 라이벌 매치 베스트 PART1
15,건배,이찬원,ONE
16,인생아 고마웠다,황영웅,불타는 트롯맨 디너쇼 미션 PART 2
17,나와 함께 가시렵니까,이찬원,ONE
18,바램,임영웅,내일은 미스터트롯 예선곡 베스트
19,밥 한 번 먹자,이찬원,ONE
20,초혼,장윤정,올래
21,오.내.언.사,이찬원,ONE
22,사나이 청춘,이찬원,ONE
23,바람 같은 사람,이찬원,ONE
24,미운 사랑,황영웅,불타는 트롯맨 예선전 PART 1
25,트위스트고고,이찬원,ONE
26,영원한 내 사랑,황영웅,불타는 트롯맨 준결승 삼대천왕전 PART 2
27,사랑해요 그대를,임영웅,IM HERO
28,사랑역,임영웅,IM HERO
29,망원동 부르스,이찬원,ONE
30,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
31,돌릴 수 없는 세월,안성훈,미스터트롯2 데스매치 베스트 PART3
32,좋아 좋아,이찬원,ONE
33,떠날 수 없는 당신,박지현,미스터트롯2 1:1 데스매치 베스트 PART2
34,지나야,박서진,춘몽
35,거문고야,박지현,미스터트롯2 라이벌 매치 베스트 PART1
36,오.내.언.사 (Guitar Ver.),이찬원,ONE
37,못난놈,박지현,미스터트롯2 예선 베스트 PART1
38,목포행 완행열차,장윤정,préparation(쁘레빠라씨용)
39,아모르 파티,김연자,아모르 파티
40,메밀꽃 필무렵,이찬원,..선물
41,막걸리 한잔,영탁,내일은 미스터트롯 데스매치 PART1
42,참 좋은 날,이찬원,참 좋은 날
43,빈 지게,황영웅,불타는 트롯맨 팀 데스매치 PART 2 & 1:1 라이벌전
44,전복 먹으러 갈래,영탁,전복 먹으러 갈래
45,테스형!,나훈아,아홉 이야기
46,사랑아,장윤정,짠짜라
47,오늘 밤에,홍진영,Lots of Love
48,조선의 남자,최수호,미스터트롯2 준결승전 신곡미션
49,서울의 달,송가인,송가인 1st ALBUM '佳人'
50,한량가 (Hallyang-ga),영탁,MMM
51,누나가 딱이야,영탁,누나가 딱이야
52,여백,정동원,내일은 미스터트롯 결승전 베스트
53,돼지토끼,장윤정,돼지토끼
54,고맙소,김호중,내일은 미스터트롯 결승전 베스트
55,보라빛 엽서,임영웅,내일은 미스터트롯 레전드 미션 베스트
56,HERO,임영웅,HERO
57,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
58,이불,영탁,이불
59,잡초,박지현,미스터트롯2 결승전 베스트
60,한잔해,박군,한잔해
61,춘몽,박서진,춘몽
62,고맙소,조항조,고맙소
63,갈색우산 (Brown Umbrella),영탁,MMM
64,평행선,문희옥,First Single
65,진또배기,이찬원,내일은 미스터트롯 예선곡 베스트
66,잊었니,임영웅,사랑의 콜센타 PART60
67,안동역에서,진성,"님의 사랑, 안동역에서"
68,옆집누나,장윤정,조영수 All star - 장윤정
69,사랑 참,장윤정,préparation(쁘레빠라씨용)
70,뱃놀이,정동원,사내[MAN]
71,내 이름 아시죠,장민호,장민호 1집 드라마
72,헛살았네,박서진,춘몽
73,산다는 건 (Cheer Up),홍진영,인생노트 (LIFE NOTE)
74,월하가약,최수호,미스터트롯2 1:1 데스매치 베스트 PART2
75,싹가능,안성훈,미스터트롯2 준결승전 신곡미션
76,남자는 말합니다,장민호,남자는 말합니다
77,붉은 입술,박서진,미스터트롯2 예선 베스트 PART1
78,떠나는 임아,박서진,미스터트롯2 데스매치 베스트 PART3
79,오래된 노래,임영웅,사랑의 콜센타 PART19
80,보릿고개,진성,진성 (안동역에서)
81,홍시,나훈아,나훈아 - 40주년 기념 특별 기획음반 (최신 골든 히트곡 모음집)
82,명자,박민수,불타는 트롯맨 1:1 라이벌전 PART 1
83,끝사랑,임영웅,사랑의 콜센타 PART61
84,엄마꽃,안성훈,엄마꽃
85,바람의 노래,조용필,조용필 16집
86,미운 사랑,진미령,인연 (인생)
87,사내,나훈아,New Freestyle (40주년 기념앨범)
88,송인,진욱,미스터트롯2 메들리 팀미션 베스트 PART2
89,잘가라,홍진영,잘가라
90,그 중에 그대를 만나,임영웅,사랑의 콜센타 PART21
91,타인,손태진,불타는 트롯맨 디너쇼 미션 PART 2
92,잘가요 내사랑,정동원,"그리움, 아낌없이 주는 나무"
93,사랑의 배터리,홍진영,사랑의 배터리
94,꽃,장윤정,짠짜라
95,당신이 좋아,남진,당신이 좋아
96,상사화,손태진,불타는 트롯맨 결승전 인생곡미션
97,서울 가 살자,진욱,미스터트롯2 결승전 베스트
98,대전 부르스,박지현,미스터트롯2 메들리 팀미션 베스트 PART2
99,어느날 문득,임영웅,사랑의 콜센타 PART27
100,바램,노사연,바램
