순위,곡명,아티스트,앨범
1,사랑이 비를 맞아요 (Cover Ver.),김길순,김길순의 사랑의 멜로디
2,섬마을 선생님 (Cover Ver.),홍미애,홍미애의 그리움
3,또또또,김인해,또또또
4,내 고향,박금희,내 고향
5,목포항,조항조,목포항
6,멋진 인생,유영배,멋진 인생
7,당신만 사랑해,백년부부,당신만 사랑해
8,님 마중 가는 길,권미희,님 마중 가는 길
9,묻지마라,지애,묻지마라
10,길떠난 나그네,여수연,길떠난 나그네
11,사랑은 무죄,현진우,사랑은 무죄
12,못난 내가 (Cover Ver.),조윤환,조윤환의 사랑은 눈물
13,사랑이 왔다,이희정,사랑이 왔다
14,추억 어린 인천항,한복희,추억 어린 인천항
15,청춘,이은하,이은하 Golden Hits
16,메밀꽃 필무렵 (Cover Ver.),이정옥,이정옥의 노래마을 7
17,비에 젖은 종로거리,이당,비에 젖은 종로거리
18,정말 좋았네 (Cover Ver.),한정자,한정자 트로트 사랑
19,계룡산연가,이다연,계룡산연가
20,산삼을 달인 물도 아닌데,무,산삼을 달인 물도 아닌데
21,오늘밤에,한봄,오늘밤에
22,다시또,윤태화,다시또
23,내 친구 앞산,F.Memoria BAND,내 친구 앞산
24,인연 (Cover Ver.),임서연,임서연의 사랑 설레임
25,청춘꽃,양세진,청춘꽃
26,인생은 꿈인걸,이성자,인생은 꿈인걸
27,돌려놔,길동현,돌려놔
28,맞벌이,진표,맞벌이
29,포항아리랑,태란,태란 신곡
30,좋은사이 (Dance Ver.),차연정,좋은사이
31,부모의 소원,조병인,부모의 소원
32,책임질게 (Feat.상민),안현민,책임질게
33,흐노니,니은,흐노니
34,좋구나 전통시장,김종하,좋구나 전통시장
35,그리운 당신,차옥경,그리운 당신
36,나의 별,유정희,나의 별
37,행복한 사람,고유정,고유정BEST 행복한 사람
38,님이여 (Cover Ver.),이순철,이순철의 백년사랑
39,보석 같은 우리 사랑,한상사,보석 같은 우리 사랑
40,족발 먹고 힘내 (DJ Juan Remix),김상훈,족발 먹고 힘내
41,안개 속으로 가버린 사랑 (Cover Ver.),지훈,배호노래 애창곡 2집
42,세월아 너 혼자 가거라,진공,세월아 너 혼자 가거라
43,민들레 사랑,예담,민들레 사랑
44,우리사랑,나도나,우리사랑
45,추풍령 연가,지성일,추풍령연가
46,그때 그 사람,마독스 (Maddox),불후의 명곡 - 아티스트 심수봉 편 1부
47,인생은 직진,수진 (Sujin),인생은 직진
48,부부,유태리,YOU (당신)
49,세글자,남승민,세글자
50,울 엄마의 엄마,제이,울 엄마의 엄마
