순위,곡명,아티스트,앨범
1,그라데이션,10CM,5.3
2,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운
3,Love story,볼빨간사춘기,Seoul
4,첫사랑,백아,첫사랑
5,사랑해 진짜,임영웅,IM HERO
6,봄이 좋냐??,10CM,3.2
7,연애편지,임영웅,IM HERO
8,봄봄봄,로이킴,봄봄봄
9,폰서트,10CM,4.0
10,썸 탈꺼야,볼빨간사춘기,Red Diary Page.1
11,우주를 줄게,볼빨간사춘기,Full Album RED PLANET
12,오래된 노래,스탠딩 에그,오래된 노래
13,나의 사춘기에게,볼빨간사춘기,Red Diary Page.1
14,사랑은 은하수 다방에서,10CM,1.0
15,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비
16,좋다고 말해,볼빨간사춘기,Full Album RED PLANET 'Hidden Track'
17,스토커,10CM,3.0
18,Give Love,AKMU (악뮤),PLAY
19,200%,AKMU (악뮤),PLAY
20,너란 봄 (Feat. 하림),정은지,공간
21,남이 될 수 있을까,볼빨간사춘기,남이 될 수 있을까
22,별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운
23,나만 안되는 연애,볼빨간사춘기,Full Album RED PLANET
24,Seoul,볼빨간사춘기,Seoul
25,숲,최유리,유영
26,오랜 날 오랜 밤,AKMU (악뮤),사춘기 하 (思春記 下)
27,심술,볼빨간사춘기,Half Album RED ICKLE
28,우리가 맞다는 대답을 할 거예요 (@leekangseung111),10CM,Remake 1.0
29,부끄럼,멜로망스,bright #4
30,마음,아이유,마음
31,널 생각해,원 모어 찬스 (one more chance),원모어찬스
32,김철수 씨 이야기,허회경,김철수 씨 이야기
33,니가 보고싶은 밤,윤딴딴,니가 보고싶은 밤
34,프리지아,볼빨간사춘기,Full Album RED PLANET
35,Little Star,스탠딩 에그,Lucky
36,사라진 모든 것들에게(with ELLE KOREA),코드 쿤스트 (CODE KUNST),RECONNECT
37,나들이 갈까,볼빨간사춘기,사춘기집Ⅰ 꽃기운
38,오늘,오왠 (O.WHEN),When I Begin
39,Blue,볼빨간사춘기,Red Diary Page.1
40,You(=I),볼빨간사춘기,Full Album RED PLANET
41,STAY,BLACKPINK,SQUARE TWO
42,#첫사랑,볼빨간사춘기,#첫사랑
43,Gone,로제 (ROSÉ),R
44,가을 아침,아이유,꽃갈피 둘
45,가끔 연락하던 애 (@kyulisme),10CM,Remake 1.0
46,헤어지던 밤,어쿠루브,헤어지던 밤
47,Happy Song,멜로망스,우리들의 블루스 OST Part 7
48,애상,10CM,윤일상 작곡가 21주년 기념 앨범 I'm 21
49,IF YOU,BIGBANG (빅뱅),D
50,싸운날,볼빨간사춘기,Half Album RED ICKLE
51,여름비,샘김 (Sam Kim),그 해 우리는 OST Part.8
52,"나의 모든 이들에게,",Mingginyu (밍기뉴),"나의 모든 이들에게,"
53,그렇게 살아가는 것,허회경,그렇게 살아가는 것
54,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보,Unplugged
55,청춘 (Feat. 김창완),김필,응답하라 1988 OST Part.1
56,Picnic,오왠 (O.WHEN),When I Begin
57,pet,10CM,4.0
58,빈칸을 채워주시오,볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비
59,X Song,볼빨간사춘기,Full Album RED PLANET
60,오빠야,신현희와김루트,신현희와김루트
61,그게 뭐라고,어쿠루브,그게 뭐라고
62,가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4)
63,품,볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비
64,너무 아픈 사랑은 사랑이 아니었음을,김광석,김광석 Best
65,봄이 되어줄게 (Feat. 그_냥),공기남,공기남 X 고닥 EP
66,매트리스,10CM,4.1
67,Love Love Love,로이킴,Love Love Love
68,동그라미,최유리,동그라미
69,Whisky on the Rock,김연지,우리들의 블루스 OST Part 1
70,너,아이유,조각집
71,봄이 온 것 같애,1415,DEAR : X
72,잊어야 한다는 마음으로,김광석,김광석 '나의 노래' Box Set
73,그대 발길 머무는 곳에,김희재,진짜가 나타났다! OST Part.1
74,정거장,아이유,조각집
75,벚꽃이 내린다,소란 (SORAN),벚꽃이 내린다
76,Mermaid,볼빨간사춘기,사춘기집Ⅰ 꽃기운
77,서른 즈음에,김광석,김광석 Best
78,잘 지내,적재,하루
79,지켜줄게,백예린 (Yerin Baek),Our love is great
80,간밤에,기리보이,일타 스캔들 OST Part 4
81,Oh Friday (루디고 GO X 송예빈),송예빈,루디고 GO OST part.1
82,테두리,백아,테두리
83,짝사랑 (feat. 민수) (@kiiiiiiiiiite),10CM,Remake 1.0
84,쓰담쓰담,10CM,3.0
85,왜 또 봄이야,차오루,왜 또 봄이야
86,고쳐주세요,볼빨간사춘기,Red Diary Page.1
87,너의 밤은 어때,그_냥,하_나
88,취기를 빌려 (Vocal 이민혁),새봄 (saevom),취기를 빌려
89,상상,볼빨간사춘기,Red Diary Page.1
90,Second Chance,영탁,MMM
91,방에 모기가 있어 (Do You Think Of Me?),10CM,방에 모기가 있어 (4.4)
92,Rose,디오 (D.O.),공감 - The 1st Mini Album
93,봄봄봄,펀치 (Punch),멀리서 보면 푸른 봄 OST Part.1
94,"수고했어, 오늘도",옥상달빛,28
95,이상한 사람,존박,동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.1
96,너 사용법,에디킴,너 사용법
97,선을 그어 주던가,1415,DEAR : X
98,사랑했지만,김광석,김광석 '나의 노래' Box Set
99,사랑에 빠졌을 때,볼빨간사춘기,Full Album RED PLANET
100,아침만 남겨주고,김현창,내 파랑은 항상 검정에 무너져왔어요
